stage,instance,arm,status,completed_process,result_exists,authoritative,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,open_leaf_count,closed_leaf_count,release_symmetry
stage1,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,534.7484739596174,44.13672921379331,490.6117447458242,66,23,23,41,89,89,89,66,89,1,1,89,23,1397006,0,1619,0.09587926,18,24,True
stage1,high_imbalance_seed3202,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage1,moderate_seed4301,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,506.53502733427445,46.86054403832726,459.6744832959472,116,55,55,60,171,171,171,116,171,1,1,171,28,1988127,0,2565,0.103765613,6,55,True
stage1,moderate_seed4301,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage1,toy,C3-REPLICA,optimal,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,True
stage1,toy,S0-CPLEX,optimal,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage1,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,366.7855739593666,43.451742406736905,323.3338315526296,231,103,103,120,334,334,334,231,334,1,1,334,103,600279,0,6621,0.043116902,11,110,True
stage1,V12_M1,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage1,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,467.7846553397448,30.755674756898127,437.0289805828467,112,48,48,58,160,160,160,112,160,1,1,160,48,535380,0,1160,0.090709898,6,53,True
stage1,V12_M2,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage2,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,534.2559880516362,44.13672921379331,490.11925883784295,66,23,23,41,89,89,89,66,89,1,1,89,23,1397006,0,1619,0.09587926,18,24,True
