stage,instance,V,optimize_count,optimizes_per_closed_leaf,presolve_count,root_relaxation_count,model_build_seconds,model_read_seconds,solver_seconds,build_read_share_of_exact_phase,average_lp_work,average_terminal_mip_work,lp_work_fraction,terminal_mip_work_fraction
stage1,high_imbalance_seed3202,20,89,3.7083333333333335,89,23,7.2224809999999975,1.8742464000000005,249.5980007648468,0.032699537608859075,0.6687383214211108,21.330945423731485,0.08253736357016024,0.9174626364298399
stage1,moderate_seed4301,20,171,3.109090909090909,171,28,13.2228927,3.6931750000000005,237.58500123023987,0.061644244402262204,0.40397020722695914,8.357717878108131,0.09251195180901652,0.9074880481909835
stage1,toy,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
stage1,V12_M1,12,334,3.036363636363636,334,103,18.676764199999994,5.1274003,253.17099905014038,0.0826947618059227,0.18810278098154504,3.139163413132326,0.11846633426087416,0.8815336657391255
stage1,V12_M2,12,160,3.018867924528302,160,48,16.0852022,4.577979200000001,257.0659999847412,0.07194943222549208,0.27460423890087615,9.104770428809307,0.0657475066910024,0.9342524933089976
stage2,high_imbalance_seed3202,20,89,3.7083333333333335,89,23,7.273787800000003,1.8809576999999997,249.61699986457825,0.03290679958295837,0.6687383214211108,21.309532992949695,0.08261344786186554,0.9173865521381345
stage2,high_imbalance_seed4201,20,47,9.4,47,3,4.7609062,0.9851603999999998,253.87800073623657,0.020715886752511938,0.6835080156306416,155.69881367132294,0.0604909883459318,0.9395090116540682
stage2,high_imbalance_seed5202,20,29,14.5,29,1,3.076770099999999,0.6240645999999997,253.78099942207336,0.01320496366447539,0.6794827385035295,465.8619268069705,0.03923697537175895,0.960763024628241
stage2,high_imbalance_seed5203,20,69,4.6,69,16,5.778589899999999,1.4466231999999999,260.8669991493225,0.025834917720949323,0.663438908143716,29.2432865047016,0.06989747220755164,0.9301025277924482
stage2,high_imbalance_seed6202,50,21,21.0,21,1,21.840507700000003,4.3592452999999995,220.94199967384338,0.09604484047122913,9.387982189087717,373.3592064165334,0.33461653215785564,0.6653834678421444
stage2,moderate_seed3302,20,133,7.823529411764706,133,18,13.134677700000005,2.882222199999999,231.81100010871887,0.05843425524994706,0.707125734461282,21.368523981265742,0.1745229206896091,0.8254770793103907
stage2,moderate_seed4302,20,231,3.164383561643836,231,74,17.926067700000008,4.952623999999999,229.99000096321106,0.08329081766837651,0.29374473535595774,5.639579976169585,0.09951070824642487,0.9004892917535751
stage2,moderate_seed5301,20,409,3.122137404580153,409,131,31.51710989999998,8.770567699999999,203.0619993209839,0.14748047801236117,0.8174787249885063,2.134103507095917,0.4483960892730895,0.5516039107269106
stage2,moderate_seed5302,20,49,9.8,49,6,4.9009636,1.0693838,230.87599921226501,0.021799980457326923,0.7749966939120536,76.46115409741043,0.06772081759657189,0.9322791824034282
stage2,moderate_seed6301,50,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
stage2,tight_T_seed3101,20,535,3.057142857142857,535,173,41.3424964,11.628204300000002,198.98100352287292,0.18980560636406418,0.800903825329578,1.0425647253842907,0.614466066473843,0.3855339335261573
stage2,tight_T_seed4101,20,293,3.117021276595745,293,91,22.926265399999995,6.229629300000001,229.34000158309937,0.10261158098173069,0.591390513954066,3.6664262925850464,0.2636490559029579,0.7363509440970419
stage2,tight_T_seed5102,20,366,3.1016949152542375,366,116,28.265699999999995,7.7877842,213.99300026893616,0.1304563702923955,0.6545461146084606,2.5007605879309884,0.36065153197151195,0.6393484680284882
stage2,tight_T_seed5103,20,393,3.046511627906977,393,127,30.14631979999999,8.375135899999995,203.01799988746643,0.14546011627859018,0.6991286944210754,2.1521553250381427,0.4049019998577563,0.5950980001422452
stage2,tight_T_seed6102,50,21,10.5,21,1,23.681029000000002,4.66985,88.38100004196167,0.13908091387161434,11.649707008053138,46.70186575104907,0.833026340155447,0.16697365984455312
stage2,V12_M1,12,334,3.036363636363636,334,103,18.539999200000008,5.0946278000000005,253.53799748420715,0.08209520957451177,0.18810278098154504,3.194039739605473,0.11666844303924559,0.883331556960754
stage2,V12_M2,12,160,3.018867924528302,160,48,15.989718399999996,4.630250599999998,256.9590015411377,0.07181592711541752,0.27460423890087615,9.096023667397668,0.06580656918688473,0.9341934308131153
stage3,high_imbalance_seed3202,20,89,3.7083333333333335,89,23,7.2046543,1.8926111999999997,249.5290002822876,0.032708517655540024,0.6687383214211108,21.307660424476104,0.08262010828628939,0.9173798917137106
stage3,moderate_seed3302,20,133,7.823529411764706,133,18,13.059535800000003,2.8472172000000002,231.95799946784973,0.058048721664260436,0.707125734461282,21.37256751554352,0.17449566380204767,0.825504336197952
stage3,tight_T_seed3101,20,535,3.057142857142857,535,173,41.12408509999998,11.534517299999992,199.16899871826172,0.18870565706813253,0.800903825329578,1.0430396183489898,0.6143581775249995,0.38564182247500073
stage3,V12_M1,12,334,3.036363636363636,334,103,18.49852239999999,5.104646599999998,253.44600224494934,0.08198170343963514,0.18810278098154504,3.1833119222773325,0.1170156101714838,0.8829843898285159
stage3,V12_M2,12,158,3.0384615384615383,158,47,15.889816600000003,4.570425500000002,257.13000106811523,0.07127510232763669,0.2748349244698207,9.135541453444127,0.06633658201834837,0.9336634179816518
stage4,moderate_seed3302,20,133,7.823529411764706,133,18,13.136008599999998,2.8632309000000005,231.17099905014038,0.05848959004011572,0.707125734461282,21.221553254864617,0.17551944194030644,0.8244805580596934
stage4,moderate_seed3302,20,133,7.823529411764706,133,18,13.056138299999999,2.867022800000002,231.6489999294281,0.058135707647310166,0.707125734461282,21.343286200008198,0.17469323759594996,0.8253067624040499
stage4,moderate_seed6301,50,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
stage4,moderate_seed6301,50,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
stage4,V12_M2,12,158,3.0384615384615383,158,47,15.963027799999997,4.589700199999997,256.9939994812012,0.07158931722651554,0.2748349244698207,9.204508973418356,0.06587227704465305,0.9341277229553471
stage4,V12_M2,12,158,3.0384615384615383,158,47,15.992089,4.606369099999999,257.06800055503845,0.07173373947466472,0.2748349244698207,9.185712978640453,0.06599817041133393,0.9340018295886662
