variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
all_improvements_300_v12_m2_forced,300,7,0,aggregate,1,2,0,2,0,0,0,0,0,0,0,2,0,2,1,-0.042533125
all_improvements_300_v12_m2_forced,300,7,0,aggregate,2,19,0,19,0,0,0,0,0,0,0,317,0,19,18,-0.0738858951299
all_improvements_300_v12_m2_forced,300,7,0,aggregate,3,181,0,181,0,0,0,0,0,0,0,8695,17629,181,181,-0.0719243578981
all_improvements_300_v12_m2_forced,300,7,0,aggregate,4,1624,0,1624,0,0,0,0,0,0,0,218291,239646,1624,1599,-0.071185098726
all_improvements_300_v12_m2_forced,300,7,0,aggregate,5,12990,0,12990,0,0,0,0,0,0,0,2900608,1785963,12990,10977,-0.0679995617483
all_improvements_300_v12_m2_forced,300,7,0,aggregate,6,90924,0,90924,0,0,0,0,0,0,0,24159356,9874169,90924,56582,-0.065418934717
all_improvements_300_v12_m2_forced,300,7,0,aggregate,7,545539,0,545539,0,0,0,0,0,0,0,137428312,42567452,543954,248247,-0.0610721682113
all_improvements_300_v12_m2_forced,300,7,0,aggregate,8,2726547,0,2726547,1144,0,0,0,0,0,0,530005883,135187034,2597723,912525,-0.0566453903598
all_improvements_300_v12_m2_forced,300,7,0,aggregate,9,10766391,0,10766391,139796,0,0,0,0,0,0,1289079304,287970812,7030312,1830743,-0.0510083606098
all_improvements_300_v12_m2_forced,300,7,0,aggregate,10,29317174,0,29317174,2981997,0,0,0,0,0,0,1763739241,364804225,10212847,1714072,-0.0454079538645
all_improvements_300_v12_m2_forced,300,7,0,aggregate,11,42167374,0,42167374,16466973,0,0,0,0,0,0,1185603255,230774186,3300423,267418,-0.0406215792281
all_improvements_300_v12_m2_forced,300,7,0,aggregate,12,21183146,0,21183146,20984228,0,0,0,0,0,0,293549344,52413979,515606,0,0.0279079025714
