variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_300_v12_m2_forced,300,7,0,aggregate,1,2,0
all_improvements_300_v12_m2_forced,300,7,0,aggregate,2,317,0
all_improvements_300_v12_m2_forced,300,7,0,aggregate,3,8695,17629
all_improvements_300_v12_m2_forced,300,7,0,aggregate,4,218291,239646
all_improvements_300_v12_m2_forced,300,7,0,aggregate,5,2900608,1785963
all_improvements_300_v12_m2_forced,300,7,0,aggregate,6,24159356,9874169
all_improvements_300_v12_m2_forced,300,7,0,aggregate,7,137428312,42567452
all_improvements_300_v12_m2_forced,300,7,0,aggregate,8,530005883,135187034
all_improvements_300_v12_m2_forced,300,7,0,aggregate,9,1289079304,287970812
all_improvements_300_v12_m2_forced,300,7,0,aggregate,10,1763739241,364804225
all_improvements_300_v12_m2_forced,300,7,0,aggregate,11,1185603255,230774186
all_improvements_300_v12_m2_forced,300,7,0,aggregate,12,293549344,52413979
