station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,29,19,29
2,2,10,2
3,3,15,3
4,3,14,3
5,13,8,13
6,22,15,22
7,4,11,4
8,4,17,4
9,19,13,19
10,16,11,16
11,5,19,5
12,15,11,15
13,16,11,16
14,23,16,16
15,30,19,19
16,18,13,18
17,3,12,3
18,6,18,18
19,40,27,40
20,2,9,2
21,12,33,12
22,11,28,25
23,6,17,6
24,16,11,16
25,2,11,2
26,6,17,6
27,17,12,17
28,19,13,13
29,14,10,14
30,17,12,17
31,14,10,14
32,0,7,0
33,1,9,9
34,1,10,1
35,42,27,28
36,27,18,18
37,4,11,4
38,26,17,26
39,4,13,4
40,18,12,18
41,2,11,2
42,16,11,16
43,13,33,30
44,6,18,6
45,3,10,5
46,38,25,24
47,1,9,8
48,45,30,45
49,14,10,14
50,9,26,9
