event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
0,0.011430600000000001,0.016906416306649567,false,1e+100,true,0,0,0,0,3,1,MIP
1,0.013339200000000001,0.018201384542323187,true,1.2025854867527856,true,0,0,0,4.9406564584124654e-324,3,1,MIP
2,0.016170799999999999,0.022746382278396558,true,1.2025854867527856,true,0.52741917711686337,0,0,4.9406564584124654e-324,3,1,MIP
3,0.038035300000000001,0.043774659365103191,true,1.1170320060539205,true,0.52741917711686337,0,0,9.8813129168249309e-324,3,1,MIP
4,0.042507799999999998,0.053025738602228263,true,1.1170320060539205,true,0.62395241138241986,0,0,9.8813129168249309e-324,3,1,MIP
5,0.046264,0.056173288972732487,true,1.0196093142305291,true,0.62516859246535483,0,0,1.4821969375237396e-323,3,1,MIP
6,0.047669099999999999,0.058170270277183772,true,1.0196093142305291,true,0.63437338142273947,0,0,1.4821969375237396e-323,3,1,MIP
7,0.064432699999999996,0.07676003112239782,true,1.0196093142305291,true,0.64068246290521935,0,0,1.4821969375237396e-323,3,1,MIP
8,0.068559400000000006,0.081017573726422487,true,1.0196093142305291,true,0.64139965088772632,0,0,1.4821969375237396e-323,3,1,MIP
9,0.069525699999999996,0.082200797931329644,true,1.0196093142305291,true,0.64242827492422105,0,0,1.4821969375237396e-323,3,1,MIP
10,0.095976599999999995,0.10667089970491854,true,1.0196093142305291,true,0.64510366000644992,0,0,1.4821969375237396e-323,3,1,MIP
11,0.1006432,0.11129409293607334,true,0.92407823893742014,true,0.64524083972178725,0,0,1.9762625833649862e-323,3,1,MIP
12,0.1014458,0.11221177534369803,true,0.92407823893742014,true,0.64648809046440769,0,0,1.9762625833649862e-323,3,1,MIP
13,0.1311572,0.14001608287558609,true,0.92407823893742014,true,0.65117478040525223,0,0,1.9762625833649862e-323,3,1,MIP
14,0.1366445,0.14544252652792614,true,0.89845632665916653,true,0.6511799935344762,0,0,2.4703282292062327e-323,3,1,MIP
15,0.13772680000000001,0.14685785867305112,true,0.89845632665916653,true,0.65252831791258259,0,0,2.4703282292062327e-323,3,1,MIP
16,0.1552328,0.16345731587241424,true,0.89845632665916653,true,0.65426752736012495,0,0,2.4703282292062327e-323,3,1,MIP
17,0.15637239999999999,0.16416158405674069,true,0.89845632665916653,true,0.65432152683472022,0,0,2.4703282292062327e-323,3,1,MIP
18,0.15709319999999999,0.16480455660181809,true,0.89845632665916653,true,0.6543797714721612,0,0,2.4703282292062327e-323,3,1,MIP
19,0.17414569999999999,0.17935966766448969,true,0.89845632665916653,true,0.65451292281787876,0,0,2.4703282292062327e-323,3,1,MIP
20,0.19697020000000001,0.19905849200734504,true,0.89845632665916653,true,0.65457934835512033,0,0,2.4703282292062327e-323,3,1,MIP
21,0.20942259999999999,0.20896179067222048,true,0.89845632665916653,true,0.65608366596404111,1,3,2.4703282292062327e-323,3,1,MIP
22,0.21103920000000001,0.21144394059887539,true,0.89845632665916653,true,0.65935944115633849,2,4,2.4703282292062327e-323,3,1,MIP
