step,process_seconds,kind,vehicle,pickup,drop,quantity,pickup_leg,drop_leg,travel_delta,added_duration,first,second,delta,F,G,P,insertion_placements,insertion_quantities,quantity_feasible,status
0,6.0211692000000001,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.16002728060440277,0.026876582572349674,0.88767132021368733,0,0,0,initial_verified
1,6.0215002999999996,quantity,-1,0,0,0,-1,-1,0,0,4,11,1,0.15893210698487395,0.025369881452820844,0.89041483688035405,0,0,2436,accepted_verified
2,6.0217898999999999,quantity,-1,0,0,0,-1,-1,0,0,8,27,-1,0.15842736601236765,0.024659380253041853,0.8917865717288388,0,0,4856,accepted_verified
3,6.0221619999999998,quantity,-1,0,0,0,-1,-1,0,0,3,23,1,0.15825090011289727,0.026746284808116905,0.87669743536520239,0,0,7263,accepted_verified
3,6.0224336000000003,none,-1,0,0,0,-1,-1,0,0,0,0,0,0.15825090011289727,0.026746284808116905,0.87669743536520239,0,0,9666,joint_neighborhood_exhausted
