leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.12613596304105185,0,0.29761303513754822,replaced,1,1,0,0.16198301142887575,0,1,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L1,"",0,-1,0.12613596304105185,0.25227192608210369,0.12613596304105185,0.5045438521642075,closed,1,1,0,0.24909075776238776,1,1,1,0,"native_terminal_mip_optimal","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound;native_terminal_mip_bound"
L2,"",0,-1,0.25227192608210369,0.37840788912315554,0.25227192608210369,1e+100,empty,1,1,0,0.37478605399896031,1,1,1,0,"native_terminal_mip_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound;native_terminal_mip_bound"
L3,"",0,-1,0.37840788912315554,0.50454385216420738,0.37840788912315554,0.50092201704001205,replaced,1,1,0,0.50092201704001205,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L0.0,"L0",1,0,0,0.063067981520525923,0.29761303513754822,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1,"L0",1,1,0.063067981520525923,0.12613596304105185,0.29761303513754822,1e+100,empty,1,1,0,0.20218132964034852,0,1,0,0,"c6_native_target_phase_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_next_leaf_target_native_bound"
L3.0,"L3",1,0,0.37840788912315554,0.44147587064368143,0.50092201704001205,0.50092201704001205,replaced,1,1,0,0.50092201704001205,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.1,"L3",1,1,0.44147587064368143,0.50454385216420738,0.50092201704001205,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.0,"L3.0",2,0,0.37840788912315554,0.40994187988341846,0.50092201704001205,0.50092201704001205,replaced,1,1,0,0.50092201704001205,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.1,"L3.0",2,1,0.40994187988341846,0.44147587064368143,0.50092201704001205,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.0.0,"L3.0.0",3,0,0.37840788912315554,0.39417488450328697,0.50092201704001205,0.50092201704001205,replaced,1,1,0,0.50092201704001205,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.0.1,"L3.0.0",3,1,0.39417488450328697,0.40994187988341846,0.50092201704001205,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.0.0.0,"L3.0.0.0",4,0,0.37840788912315554,0.38629138681322128,0.50092201704001205,0.50092201704001205,replaced,1,1,0,0.50092201704001205,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L3.0.0.0.1,"L3.0.0.0",4,1,0.38629138681322128,0.39417488450328697,0.50092201704001205,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L3.0.0.0.0.0,"L3.0.0.0.0",5,0,0.37840788912315554,0.38234963796818844,0.50092201704001205,1e+100,empty,1,1,0,0.50092201704001205,1,0,0,0,"native_terminal_mip_infeasible","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
L3.0.0.0.0.1,"L3.0.0.0.0",5,1,0.38234963796818844,0.38629138681322128,0.50092201704001205,0.50454385216420738,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
