"instance","variant","frontier_min_interval_lower_bound","frontier_lower_bound_source","unresolved_intervals","open_nodes","status","certificate_scope","result_file"
"regen_V100_M5_average.txt","v100_relaxed_rmp_300s","0","","0","0","diagnostic_complete","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v100_relaxed_rmp_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_exact_300s","0.33745447106","inventory_route_gini_relaxation","2","2","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m1_full_exact_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_twotrack_300s","0.33766689143","inventory_route_gini_relaxation","2","2","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m1_full_twotrack_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_exact_300s","0.712948394993","inventory_route_gini_relaxation","1","5","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m2_focus_exact_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_twotrack_300s","0.712948394993","inventory_route_gini_relaxation","1","1","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m2_focus_twotrack_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_exact_300s","0.68400354721","inventory_route_gini_relaxation","4","4","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m2_full_exact_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_twotrack_300s","0.710571053706","focused_split_inherited_parent_lb","3","3","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v12_m2_full_twotrack_300s.json"
"regen_V20_M2_average.txt","v20_twotrack_frontier_300s","0.372692167178","inventory_route_gini_relaxation","9","5","gcap_frontier_not_closed","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v20_twotrack_frontier_300s.json"
"gcap_smoke_V4_M1.txt","v4_frontier_exact","0","incumbent_cutoff","0","0","optimal","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_frontier_exact.json"
"gcap_smoke_V4_M1.txt","v4_frontier_twotrack","0","incumbent_cutoff","0","0","optimal","","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_frontier_twotrack.json"
"gcap_smoke_V4_M1.txt","v4_large-relaxed-rmp-test","0","","0","0","diagnostic_complete","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_large-relaxed-rmp-test.json"
"gcap_smoke_V4_M1.txt","v4_relaxed-column-incumbent-safety-test","0","","0","0","diagnostic_complete","incumbent_safety_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_relaxed-column-incumbent-safety-test.json"
"gcap_smoke_V4_M1.txt","v4_relaxed-pricing-closure-test","0","","0","0","pricing_complete","pricing_closure_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_relaxed-pricing-closure-test.json"
"gcap_smoke_V4_M1.txt","v4_relaxed-rmp-test","0","","0","0","gcap_cg_root_complete","relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_relaxed-rmp-test.json"
"gcap_smoke_V4_M1.txt","v4_two-track-column-test","0","","0","0","diagnostic_complete","two_track_column_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v4_two-track-column-test.json"
"regen_V50_M3_average.txt","v50_relaxed_rmp_300s","0","","0","0","diagnostic_complete","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round14\raw\v50_relaxed_rmp_300s.json"
