"variant","incumbent_relaxed_columns_rejected","route_pool_relaxed_columns_excluded","relaxed_columns_used_in_incumbent","status"
"v100_relaxed_rmp_300s","0","0","0","diagnostic_complete"
"v12_m1_full_exact_300s","0","0","0","gcap_frontier_not_closed"
"v12_m1_full_twotrack_300s","0","0","0","gcap_frontier_not_closed"
"v12_m2_focus_exact_300s","0","0","0","gcap_frontier_not_closed"
"v12_m2_focus_twotrack_300s","0","0","0","gcap_frontier_not_closed"
"v12_m2_full_exact_300s","0","0","0","gcap_frontier_not_closed"
"v12_m2_full_twotrack_300s","0","0","0","gcap_frontier_not_closed"
"v20_twotrack_frontier_300s","0","0","0","gcap_frontier_not_closed"
"v4_frontier_exact","0","0","0","optimal"
"v4_frontier_twotrack","0","23","0","optimal"
"v4_large-relaxed-rmp-test","0","0","0","diagnostic_complete"
"v4_relaxed-column-incumbent-safety-test","1","1","0","diagnostic_complete"
"v4_relaxed-pricing-closure-test","0","0","0","pricing_complete"
"v4_relaxed-rmp-test","0","0","0","gcap_cg_root_complete"
"v4_two-track-column-test","0","0","0","diagnostic_complete"
"v50_relaxed_rmp_300s","0","0","0","diagnostic_complete"
