time_seconds,process_tree_memory_mb,pid
0.045,40.488,34980
300.446,90.645,34980
600.842,801.066,34980
901.247,1746.961,34980
1201.629,2740.809,34980
1502.032,3370.914,34980
1802.412,3850.094,34980
2102.769,4284.641,34980
2403.183,4718.078,34980
2703.563,5136.25,34980
3003.967,5493.48,34980
3304.36,5833.535,34980
3604.857,6175.664,34980
3905.257,6506.086,34980
4205.64,6828.016,34980
4506.025,7150.496,34980
4806.438,7400.961,34980
5106.876,7672.922,34980
5407.296,7959.168,34980
5707.698,8202.895,34980
6008.122,8513.914,34980
6308.562,8741.047,34980
6608.982,8986.109,34980
6909.396,9243.586,34980
7209.93,9573.07,34980
7250.31,0.0,34980
