time_seconds,process_tree_memory_mb,pid
0.041,40.035,48768
300.439,570.406,48768
600.841,1051.703,48768
901.234,1729.68,48768
1201.628,2577.863,48768
1502.026,3113.387,48768
1802.405,3535.082,48768
2102.769,3880.031,48768
2403.171,4236.992,48768
2703.562,4460.145,48768
3003.967,4798.055,48768
3304.353,5174.355,48768
3604.858,5541.301,48768
3905.258,5965.164,48768
4205.639,6293.02,48768
4506.025,6650.523,48768
4806.438,6922.895,48768
5106.876,7213.098,48768
5407.296,7441.371,48768
5707.679,7688.922,48768
6008.126,7902.922,48768
6308.549,8135.18,48768
6608.982,8395.918,48768
6909.398,8664.457,48768
7209.931,8960.75,48768
7510.334,9220.77,48768
7810.714,9494.043,48768
8111.075,9805.738,48768
8411.424,10110.418,48768
8711.781,10388.031,48768
9012.119,10733.297,48768
9312.467,11063.363,48768
9612.814,11336.137,48768
9913.184,11618.285,48768
10213.538,11890.137,48768
10513.9,12204.512,48768
10814.315,12576.723,48768
11114.679,12914.914,48768
11415.034,13258.953,48768
11715.383,13575.371,48768
12015.745,13876.738,48768
12316.102,14211.641,48768
12616.447,14532.848,48768
12916.781,14826.395,48768
13217.138,15007.145,48768
13517.501,15059.793,48768
13818.333,15122.109,48768
14118.701,15228.629,48768
14419.048,2039.918,48768
14464.383,0.0,48768
