time_seconds,process_tree_memory_mb,pid
0.032,7.305,44196
300.455,1053.168,44196
600.784,210.766,44196
901.09,267.871,44196
1201.426,234.648,44196
1501.741,131.324,44196
1802.048,131.324,44196
2102.342,131.324,44196
2402.643,131.324,44196
2702.944,131.324,44196
3003.248,131.324,44196
3303.554,131.324,44196
3603.857,131.324,44196
3904.152,131.324,44196
4204.447,131.324,44196
4504.744,131.324,44196
4805.042,131.324,44196
5105.34,131.324,44196
5405.636,131.324,44196
5705.939,131.324,44196
6006.242,131.324,44196
6306.551,132.816,44196
6606.902,132.816,44196
6907.227,132.816,44196
7207.549,132.816,44196
7507.862,132.816,44196
7808.208,132.816,44196
8108.544,132.816,44196
8408.889,132.816,44196
8709.224,132.816,44196
9009.536,132.816,44196
9309.836,132.816,44196
9610.141,132.816,44196
9910.467,23.457,44196
10210.789,23.457,44196
10511.129,23.457,44196
10811.45,15.023,44196
11111.777,15.023,44196
11412.106,15.023,44196
11712.429,105.285,44196
12012.79,137.578,44196
12313.142,183.117,44196
12613.475,229.23,44196
12913.795,226.508,44196
13214.097,118.996,44196
13514.423,181.301,44196
13814.749,218.727,44196
14115.08,251.137,44196
14415.442,247.988,44196
14580.902,0.0,44196
