time_seconds,process_tree_memory_mb,pid
0.004,45.039,30432
300.329,120.562,30432
600.64,198.254,30432
900.98,282.543,30432
1201.314,354.07,30432
1501.654,413.926,30432
1801.994,490.004,30432
2102.317,570.43,30432
2402.649,651.535,30432
2702.984,724.746,30432
3003.307,793.473,30432
3303.652,860.215,30432
3603.979,921.188,30432
3904.306,983.285,30432
4204.634,1045.738,30432
4504.977,1103.641,30432
4805.333,1165.863,30432
5105.659,1229.984,30432
5405.998,267.77,30432
5706.325,834.355,30432
6006.676,1373.344,30432
6307.018,1948.27,30432
6607.348,2537.992,30432
6907.684,3015.285,30432
7208.015,3401.75,30432
7508.359,3729.008,30432
7808.696,4036.273,30432
8109.055,4310.316,30432
8409.391,4595.879,30432
8709.723,4865.883,30432
9010.057,5119.148,30432
9310.389,5380.223,30432
9610.744,5632.559,30432
9911.066,5885.5,30432
10211.399,6130.219,30432
10511.736,6393.406,30432
10812.068,6647.629,30432
11112.371,6898.57,30432
11412.699,7144.695,30432
11713.041,7384.703,30432
12013.391,7606.09,30432
12313.723,7828.434,30432
12614.033,8071.5,30432
12914.369,8267.457,30432
13214.702,8388.789,30432
13515.013,8462.012,30432
13815.33,7543.648,30432
14115.67,7623.785,30432
14415.998,1690.363,30432
14446.286,0.0,30432
