time_seconds,process_tree_memory_mb,pid
0.134,20.434,34132
300.474,145.582,34132
600.785,101.262,34132
901.117,116.762,34132
1201.437,118.328,34132
1501.749,130.465,34132
1802.054,137.027,34132
2102.354,148.238,34132
2402.655,158.777,34132
2702.96,167.613,34132
3003.296,177.074,34132
3303.593,186.242,34132
3603.903,196.203,34132
3904.205,203.164,34132
4204.513,213.055,34132
4504.823,220.156,34132
4805.137,229.254,34132
5105.446,238.066,34132
5405.795,246.922,34132
5706.122,253.848,34132
6006.429,263.598,34132
6306.741,267.641,34132
6607.1,275.852,34132
6907.417,283.289,34132
7207.738,291.309,34132
7508.058,331.953,34132
7808.403,433.398,34132
8108.748,468.359,34132
8409.092,479.645,34132
8709.458,600.496,34132
9009.801,725.117,34132
9310.119,831.078,34132
9610.432,947.504,34132
9910.759,1063.844,34132
10211.117,1175.996,34132
10511.448,1286.973,34132
10811.791,1405.66,34132
11112.114,1510.965,34132
11412.457,1637.129,34132
11712.777,1753.551,34132
12013.122,1867.223,34132
12313.441,1968.098,34132
12613.77,2085.668,34132
12914.088,2203.367,34132
13214.406,2247.66,34132
13514.715,2336.461,34132
13815.08,2435.238,34132
14115.398,2526.684,34132
14410.73,0.0,34132
