time_seconds,process_tree_memory_mb,pid
0.052,6.391,28828
300.44,172.074,28828
600.847,126.766,28828
901.246,126.75,28828
1201.617,126.75,28828
1502.008,126.75,28828
1802.412,126.75,28828
2102.771,126.75,28828
2403.166,126.75,28828
2703.573,126.75,28828
3003.962,126.75,28828
3304.355,126.75,28828
3604.858,126.75,28828
3905.258,126.75,28828
4205.645,126.75,28828
4506.025,126.75,28828
4806.433,126.75,28828
5106.876,126.75,28828
5407.296,126.75,28828
5707.679,126.75,28828
6008.122,126.75,28828
6308.549,126.75,28828
6608.983,126.75,28828
6909.398,126.75,28828
7209.93,126.75,28828
7510.335,126.75,28828
7810.709,126.75,28828
8111.065,126.75,28828
8411.424,126.75,28828
8711.777,126.75,28828
9012.109,126.75,28828
9312.454,126.75,28828
9612.813,126.75,28828
9913.179,23.758,28828
10213.538,23.758,28828
10513.901,23.758,28828
10814.322,23.758,28828
11114.679,23.758,28828
11415.024,23.758,28828
11715.384,23.758,28828
12015.742,23.758,28828
12316.096,13.613,28828
12616.452,13.613,28828
12916.777,13.613,28828
13217.13,13.613,28828
13517.501,15.211,28828
13818.331,15.211,28828
14118.696,15.211,28828
14419.039,15.211,28828
14584.511,0.0,28828
