check,instance,left_run,right_run,decision_identity,certificate_identity,pass
implicit_vs_explicit_default_off,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/default_implicit__round39_small_hard_V10_M3_Q20_slot04_seed1145042375,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/default_explicit__round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,True,True
candidate_deterministic_decision_repeat,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,results/gf_adaptive_timing_parametric_partition_round45/completion/runs/sentinel__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__gamma-veto,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/candidate_repeat__round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,True,True
implicit_vs_explicit_default_off,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/default_implicit__round39_small_hard_V12_M3_Q30_slot08_seed1288546114,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/default_explicit__round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,True,True
candidate_deterministic_decision_repeat,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,results/gf_adaptive_timing_parametric_partition_round45/completion/runs/sentinel__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__gamma-veto,results/gf_adaptive_timing_parametric_partition_round45/completion/equivalence_runs/candidate_repeat__round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,True,True
