row_id,stage,instance,arm,horizon_seconds,lower_bound,verified_upper_bound,relative_gap,normalized_gap_integral,strict_closed_before_horizon,certificate_count,work,nodes,peak_memory_gb,split_count
complex__tight_T_seed3101__pgrb,complex_mandatory_v20_development,tight_T_seed3101,pgrb,300,0.02118785946667322,0.10725273331427823,0.8024492354466407,0.8218725625962912,False,0,510.71950656579327,10197.0,0.0,0
complex__tight_T_seed3101__pgrb,complex_mandatory_v20_development,tight_T_seed3101,pgrb,1200,0.026079330566051735,0.10725272000267416,0.7568422454423395,0.7937296105633487,False,0,2265.3006439317505,43330.0,0.0,0
complex__tight_T_seed3101__pgrb,complex_mandatory_v20_development,tight_T_seed3101,pgrb,3600,0.03325038637500674,0.10725272000267415,0.6899809499080517,0.7415457985890976,False,0,6985.85727102761,177880.0,0.0,0
complex__tight_T_seed3101__c6,complex_mandatory_v20_development,tight_T_seed3101,c6,300,0.05474819668481515,0.10725273413394144,0.4895403168329169,0.5319556743200231,False,0,6866.679416283204,46293.0,0.244887119,0
complex__tight_T_seed3101__c6,complex_mandatory_v20_development,tight_T_seed3101,c6,1200,0.06921102291515194,0.10725273413394144,0.3546922279042464,0.4723793352738585,False,0,6866.679416283204,46293.0,0.244887119,0
complex__tight_T_seed3101__c6,complex_mandatory_v20_development,tight_T_seed3101,c6,3600,0.10725273413394144,0.10725273413394144,0.0,0.2927819429729401,True,1,6866.679416283204,46293.0,0.244887119,0
complex__tight_T_seed3101__gamma-veto,complex_mandatory_v20_development,tight_T_seed3101,gamma-veto,300,0.05364978186276454,0.10725273413394144,0.4997816857912025,0.537460032212367,False,0,7536.032605849421,32217.0,0.244887135,0
complex__tight_T_seed3101__gamma-veto,complex_mandatory_v20_development,tight_T_seed3101,gamma-veto,1200,0.06812756184735899,0.10725273413394144,0.3647941714727887,0.48011478355551257,False,0,7536.032605849421,32217.0,0.244887135,0
complex__tight_T_seed3101__gamma-veto,complex_mandatory_v20_development,tight_T_seed3101,gamma-veto,3600,0.0805226634088158,0.10725273413394144,0.24922507515513853,0.3390234742903816,False,0,7536.032605849421,32217.0,0.244887135,0
complex__tight_T_seed3101__no-adaptive,complex_mandatory_v20_development,tight_T_seed3101,no-adaptive,300,0.05362636706697072,0.10725273413394144,0.5,0.5433007770359971,False,0,7369.656377609638,33229.0,0.247949629,0
complex__tight_T_seed3101__no-adaptive,complex_mandatory_v20_development,tight_T_seed3101,no-adaptive,1200,0.06818435962394112,0.10725273413394144,0.364264601974717,0.473030594285312,False,0,7369.656377609638,33229.0,0.247949629,0
complex__tight_T_seed3101__no-adaptive,complex_mandatory_v20_development,tight_T_seed3101,no-adaptive,3600,0.10725273413394144,0.10725273413394144,0.0,0.32210926740714546,True,1,7369.656377609638,33229.0,0.247949629,0
complex__tight_T_seed3101__d-r43,complex_secondary_v20_development,tight_T_seed3101,d-r43,300,0.05364978186276454,0.10725273413394144,0.4997816857912025,0.538991181541556,False,0,7515.476630823616,32214.0,0.244887125,0
complex__tight_T_seed3101__d-r43,complex_secondary_v20_development,tight_T_seed3101,d-r43,1200,0.0670529213095842,0.10725273413394144,0.3748138744337662,0.4808501859753225,False,0,7515.476630823616,32214.0,0.244887125,0
complex__tight_T_seed3101__d-r43,complex_secondary_v20_development,tight_T_seed3101,d-r43,3600,0.0805226634088158,0.10725273413394144,0.24922507515513853,0.3396974236918491,False,0,7515.476630823616,32214.0,0.244887125,0
complex__high_imbalance_seed3201__pgrb,complex_mandatory_v20_development,high_imbalance_seed3201,pgrb,300,2.05655260557183,2.443403189978269,0.15832449838533594,0.19666809817138206,False,0,566.4785049605902,10299.0,0.0,0
complex__high_imbalance_seed3201__pgrb,complex_mandatory_v20_development,high_imbalance_seed3201,pgrb,1200,2.1294219432480705,2.4434031861450096,0.12850160983554726,0.15715839267032483,False,0,2401.504204089362,39390.0,0.0,0
complex__high_imbalance_seed3201__pgrb,complex_mandatory_v20_development,high_imbalance_seed3201,pgrb,3600,2.2231905144084583,2.443403184588039,0.09012539214509903,0.12302197752516489,False,0,7280.922317226709,122165.0,0.0,0
complex__high_imbalance_seed3201__c6,complex_mandatory_v20_development,high_imbalance_seed3201,c6,300,2.3545030031536247,2.4434031919432,0.03638375732777625,0.10209259428775619,False,0,710.8503886196801,17571.0,0.176095389,1
complex__high_imbalance_seed3201__c6,complex_mandatory_v20_development,high_imbalance_seed3201,c6,1200,2.4434031919432,2.4434031919432,0.0,0.027260648383045427,True,1,710.8503886196801,17571.0,0.176095389,1
complex__high_imbalance_seed3201__c6,complex_mandatory_v20_development,high_imbalance_seed3201,c6,3600,2.4434031919432,2.4434031919432,0.0,0.009086882794348475,True,1,710.8503886196801,17571.0,0.176095389,1
complex__high_imbalance_seed3201__gamma-veto,complex_mandatory_v20_development,high_imbalance_seed3201,gamma-veto,300,2.3669436233839223,2.4434031919432,0.031292243871741295,0.09773331541347871,False,0,1138.0330315218748,24330.0,0.207735784,0
complex__high_imbalance_seed3201__gamma-veto,complex_mandatory_v20_development,high_imbalance_seed3201,gamma-veto,1200,2.4434031919432,2.4434031919432,0.0,0.02676883974250682,True,1,1138.0330315218748,24330.0,0.207735784,0
complex__high_imbalance_seed3201__gamma-veto,complex_mandatory_v20_development,high_imbalance_seed3201,gamma-veto,3600,2.4434031919432,2.4434031919432,0.0,0.008922946580835606,True,1,1138.0330315218748,24330.0,0.207735784,0
complex__high_imbalance_seed3201__no-adaptive,complex_mandatory_v20_development,high_imbalance_seed3201,no-adaptive,300,0.7124999999999999,2.4434031919432,0.7083985146825645,0.780082354909332,False,0,1135.9892958215353,24328.0,0.207735786,0
complex__high_imbalance_seed3201__no-adaptive,complex_mandatory_v20_development,high_imbalance_seed3201,no-adaptive,1200,2.4434031919432,2.4434031919432,0.0,0.4124235680469337,True,1,1135.9892958215353,24328.0,0.207735786,0
complex__high_imbalance_seed3201__no-adaptive,complex_mandatory_v20_development,high_imbalance_seed3201,no-adaptive,3600,2.4434031919432,2.4434031919432,0.0,0.13747452268231125,True,1,1135.9892958215353,24328.0,0.207735786,0
complex__high_imbalance_seed3201__d-r43,complex_secondary_v20_development,high_imbalance_seed3201,d-r43,300,2.323353962120335,2.4434031919432,0.04913197716148999,0.09923252025348285,False,0,968.717948881789,17832.0,0.179297561,26
complex__high_imbalance_seed3201__d-r43,complex_secondary_v20_development,high_imbalance_seed3201,d-r43,1200,2.4434031919432,2.4434031919432,0.0,0.03401800101827502,True,1,968.717948881789,17832.0,0.179297561,26
complex__high_imbalance_seed3201__d-r43,complex_secondary_v20_development,high_imbalance_seed3201,d-r43,3600,2.4434031919432,2.4434031919432,0.0,0.01133933367275834,True,1,968.717948881789,17832.0,0.179297561,26
complex__moderate_seed3301__pgrb,complex_mandatory_v20_development,moderate_seed3301,pgrb,300,0.04823829844424627,0.049523372841158875,0.025948846437304423,0.09943394798264918,False,0,381.00443708997665,33419.0,0.0,0
complex__moderate_seed3301__pgrb,complex_mandatory_v20_development,moderate_seed3301,pgrb,1200,0.048388162833931436,0.049523372841158875,0.0229227118853255,0.04206319921296976,False,0,1597.274051379584,129282.0,0.0,0
complex__moderate_seed3301__pgrb,complex_mandatory_v20_development,moderate_seed3301,pgrb,3600,0.04838816283393175,0.04952337284115889,0.022922711885319465,0.029302874327872416,False,0,4612.717980861074,424097.0,0.0,0
complex__moderate_seed3301__c6,complex_mandatory_v20_development,moderate_seed3301,c6,300,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.23735699589752557,False,0,6182.7252120193125,70542.0,0.240892749,1
complex__moderate_seed3301__c6,complex_mandatory_v20_development,moderate_seed3301,c6,1200,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14359579867880096,False,0,6182.7252120193125,70542.0,0.240892749,1
complex__moderate_seed3301__c6,complex_mandatory_v20_development,moderate_seed3301,c6,3600,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.12275997707464001,False,0,6182.7252120193125,70542.0,0.240892749,1
complex__moderate_seed3301__gamma-veto,complex_mandatory_v20_development,moderate_seed3301,gamma-veto,300,0.04612528289749264,0.04915255266474515,0.061589268575746446,0.2215057288023054,False,0,6492.454849036278,51968.0,0.250443072,0
complex__moderate_seed3301__gamma-veto,complex_mandatory_v20_development,moderate_seed3301,gamma-veto,1200,0.04612528289749264,0.04915255266474515,0.061589268575746446,0.10156838363238635,False,0,6492.454849036278,51968.0,0.250443072,0
complex__moderate_seed3301__gamma-veto,complex_mandatory_v20_development,moderate_seed3301,gamma-veto,3600,0.04612528289749264,0.04915255266474515,0.061589268575746446,0.07491564026129309,False,0,6492.454849036278,51968.0,0.250443072,0
complex__moderate_seed3301__no-adaptive,complex_mandatory_v20_development,moderate_seed3301,no-adaptive,300,0.024576276332372575,0.04915255266474515,0.5,0.5791489914166668,False,0,6454.111461791629,51676.0,0.248570343,0
complex__moderate_seed3301__no-adaptive,complex_mandatory_v20_development,moderate_seed3301,no-adaptive,1200,0.024576276332372575,0.04915255266474515,0.5,0.5197872478541666,False,0,6454.111461791629,51676.0,0.248570343,0
complex__moderate_seed3301__no-adaptive,complex_mandatory_v20_development,moderate_seed3301,no-adaptive,3600,0.024576276332372575,0.04915255266474515,0.5,0.5065957492847222,False,0,6454.111461791629,51676.0,0.248570343,0
complex__moderate_seed3301__d-r43,complex_secondary_v20_development,moderate_seed3301,d-r43,300,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.23819377770159808,False,0,6393.12835339705,57041.0,0.255698696,1
complex__moderate_seed3301__d-r43,complex_secondary_v20_development,moderate_seed3301,d-r43,1200,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.1438049941298192,False,0,6393.12835339705,57041.0,0.255698696,1
complex__moderate_seed3301__d-r43,complex_secondary_v20_development,moderate_seed3301,d-r43,3600,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.12282970889164599,False,0,6393.12835339705,57041.0,0.255698696,1
complex__tight_T_seed3102__pgrb,complex_mandatory_v20_confirmation,tight_T_seed3102,pgrb,300,0.25993509582471813,0.600704436685108,0.5672828766520709,0.6046113812156226,False,0,565.2825575925145,10257.0,0.0,0
