row_id,stage,instance,arm,complete,terminal_strict,terminal_local_parent_exact,terminal_honest_cap,process_seconds,executable_sha256,artifact_aliases,failure_reasons
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,retain,True,False,True,False,2.1392028,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__midpoint,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,midpoint-split,True,False,True,False,2.9183354,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__pmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,pmm-split,True,False,True,False,8.7588035,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L0__fpmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fpmm-split,True,False,True,False,8.8038329,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,retain,True,False,True,False,5.6518959,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__midpoint,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,midpoint-split,True,False,True,False,10.437759,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__pmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,pmm-split,True,False,True,False,8.6576603,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L1__fpmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fpmm-split,True,False,True,False,8.6881879,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,retain,True,False,True,False,4.1615062,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__midpoint,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,midpoint-split,True,False,True,False,5.6877491,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__pmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,pmm-split,True,False,True,False,7.9800099,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L2__fpmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fpmm-split,True,False,True,False,7.9842357,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__retain,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,retain,True,False,True,False,1.8068564,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__midpoint,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,midpoint-split,True,False,True,False,2.5628732,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__pmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,pmm-split,True,False,True,False,3.138054,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__k4__L3__fpmm,true_counterfactual_development,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,fpmm-split,True,False,True,False,3.206598,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,retain,True,False,True,False,13.0757697,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,midpoint-split,True,False,True,False,22.9254995,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,pmm-split,True,False,True,False,36.3719335,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L0__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,fpmm-split,True,False,True,False,35.9360717,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,retain,True,False,True,False,54.4092529,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,midpoint-split,True,False,True,False,138.5534697,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,pmm-split,True,False,True,False,71.0460673,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L1__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,fpmm-split,True,False,True,False,71.3214298,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,retain,True,False,True,False,18.4173958,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
