instance,horizon_seconds,arm,GI_pgrb,GI_c6,GI_arm,c6_advantage_over_pgrb,retention,arm_advantage_over_pgrb
high_imbalance_seed3201,300,gamma-veto,0.19666809817138206,0.10209259428775619,0.09773331541347871,True,1.0460931075729876,True
high_imbalance_seed3201,300,no-adaptive,0.19666809817138206,0.10209259428775619,0.780082354909332,True,-6.168767099098249,False
high_imbalance_seed3201,1200,gamma-veto,0.15715839267032483,0.027260648383045427,0.02676883974250682,True,1.003786121485304,True
high_imbalance_seed3201,1200,no-adaptive,0.15715839267032483,0.027260648383045427,0.4124235680469337,True,-1.9651240040940912,False
high_imbalance_seed3201,3600,gamma-veto,0.12302197752516489,0.009086882794348475,0.008922946580835606,True,1.0014388561654353,True
high_imbalance_seed3201,3600,no-adaptive,0.12302197752516489,0.009086882794348475,0.13747452268231125,True,-0.12684893264267708,False
high_imbalance_seed3202,300,gamma-veto,0.41568654111654096,0.07664954517365022,0.07969659408979907,True,0.9910126359287879,True
high_imbalance_seed3202,300,no-adaptive,0.41568654111654096,0.07664954517365022,0.5341177781433208,True,-0.3493165596793133,False
high_imbalance_seed3202,1200,gamma-veto,0.3707137601923939,0.019162386293412555,0.019924148522449767,True,0.9978331410837947,True
high_imbalance_seed3202,1200,no-adaptive,0.3707137601923939,0.019162386293412555,0.1335294445358302,True,0.6746789609325174,True
high_imbalance_seed3202,3600,gamma-veto,0.2974026420261397,0.006387462097804185,0.006641382840816589,True,0.9991274656425999,True
high_imbalance_seed3202,3600,no-adaptive,0.2974026420261397,0.006387462097804185,0.04450981484527674,True,0.8690021848452701,True
moderate_seed3301,300,gamma-veto,0.09943394798264918,0.23735699589752557,0.2215057288023054,False,-122071780819.65622,False
moderate_seed3301,300,no-adaptive,0.09943394798264918,0.23735699589752557,0.5791489914166668,False,-479715043434.01764,False
moderate_seed3301,1200,gamma-veto,0.04206319921296976,0.14359579867880096,0.10156838363238635,False,-59505184419.41659,False
moderate_seed3301,1200,no-adaptive,0.04206319921296976,0.14359579867880096,0.5197872478541666,False,-477724048641.1969,False
moderate_seed3301,3600,gamma-veto,0.029302874327872416,0.12275997707464001,0.07491564026129309,False,-45612765933.42068,False
moderate_seed3301,3600,no-adaptive,0.029302874327872416,0.12275997707464001,0.5065957492847222,False,-477292874956.84973,False
moderate_seed3302,300,gamma-veto,0.3710734728191256,0.2914171879419572,0.2933105172450414,True,0.9762312627810377,True
moderate_seed3302,300,no-adaptive,0.3710734728191256,0.2914171879419572,0.7675057604166668,True,-4.976786052837485,False
moderate_seed3302,1200,gamma-veto,0.34999667772664983,0.2498461016227891,0.2503194339485601,True,0.9952737932802291,True
moderate_seed3302,1200,no-adaptive,0.34999667772664983,0.2498461016227891,0.7543764401041663,True,-4.037717785648644,False
moderate_seed3302,3600,gamma-veto,0.34216803712784166,0.24060808244075182,0.24076585988267546,True,0.9984464600992611,True
moderate_seed3302,3600,no-adaptive,0.34216803712784166,0.24060808244075182,0.7514588133680539,True,-4.030040949715397,False
round32_multi_m_high_imbalance_V50_M2_seed910922492,300,gamma-veto,0.14631146207335807,0.1740781399102202,0.2141060558007928,False,-67794593727.43474,False
round32_multi_m_high_imbalance_V50_M2_seed910922492,300,no-adaptive,0.14631146207335807,0.1740781399102202,0.874266250799499,False,-727954788726.141,False
round32_multi_m_high_imbalance_V50_M2_seed910922492,1200,gamma-veto,0.11729645670652881,0.04351953497755505,0.0711020640420225,True,0.6261360813372726,True
round32_multi_m_high_imbalance_V50_M2_seed910922492,1200,no-adaptive,0.11729645670652881,0.04351953497755505,0.48003157908738736,True,-4.916647562409814,False
round32_multi_m_high_imbalance_V50_M2_seed910922492,3600,gamma-veto,0.10558050637078106,0.014506511659185017,0.0237006880140075,True,0.8990471826349807,True
round32_multi_m_high_imbalance_V50_M2_seed910922492,3600,no-adaptive,0.10558050637078106,0.014506511659185017,0.16001052636246246,True,-0.5976461246049973,False
