instance,parent_id,retain_work,midpoint_work,pmm_work,fpmm_work,retain_seconds,midpoint_seconds,pmm_seconds,fpmm_seconds,best_split_point,evidence_conclusive,midpoint_exact,pmm_exact,fpmm_exact,midpoint_selected_point,midpoint_midpoint,midpoint_point_certified,midpoint_point_reason,midpoint_query_count,midpoint_child_0_width,midpoint_child_1_width,midpoint_child_0_lp_bound,midpoint_child_1_lp_bound,midpoint_target_attainment_count,midpoint_GI_3600,midpoint_final_gap,pmm_selected_point,pmm_midpoint,pmm_point_certified,pmm_point_reason,pmm_query_count,pmm_child_0_width,pmm_child_1_width,pmm_child_0_lp_bound,pmm_child_1_lp_bound,pmm_target_attainment_count,pmm_GI_3600,pmm_final_gap,fpmm_selected_point,fpmm_midpoint,fpmm_point_certified,fpmm_point_reason,fpmm_query_count,fpmm_child_0_width,fpmm_child_1_width,fpmm_child_0_lp_bound,fpmm_child_1_lp_bound,fpmm_target_attainment_count,fpmm_GI_3600,fpmm_final_gap,pmm_improves_midpoint_15pct,fpmm_improves_midpoint_15pct
high_imbalance_seed3201,L1,361.56396014840664,89.34707544420317,242.1378399571695,242.1378399571695,194.9131478,56.4959368,136.9202329,137.2014641,midpoint,True,True,True,True,0.35624999999999996,0.35624999999999996,1,certified_midpoint,0,0.11874999999999997,0.11875000000000002,0,2.261240112868975,0,0.0033319651727544194,0.0,0.43715888060331343,0.35624999999999996,1,certified_direct_parametric_root_solver,23,0.19965888060331344,0.03784111939668655,2.2873989493683231,2.2873989773763532,2,0.004586717341076282,0.0,0.43715888060331343,0.35624999999999996,1,certified_direct_parametric_root_solver,23,0.19965888060331344,0.03784111939668655,2.2873989493683231,2.2873989773763532,2,0.004637189107842056,0.0,False,False
moderate_seed3301,L0,18.792858636389788,16.65508647554648,37.44230105500461,37.44230105500461,56.6451861,54.0015825,68.3411341,68.4606804,midpoint,True,True,True,True,0.0061440690830931437,0.0061440690830931437,1,certified_midpoint,0,0.006144069083093144,0.006144069083093144,0,0.040117041551011833,0,0.012531273468881257,0.0,0.0085491633150182635,0.0061440690830931437,1,certified_direct_parametric_root_solver,18,0.008549163315018263,0.003738974851168024,0.04140075084421687,0.041400737737917033,0,0.012990602993066981,0.0,0.0085491633150182635,0.0061440690830931437,1,certified_direct_parametric_root_solver,18,0.008549163315018263,0.003738974851168024,0.04140075084421687,0.041400737737917033,0,0.013004095020240527,0.0,False,False
moderate_seed3301,L1,6462.621486302355,6381.0423977105165,6138.207536830032,6140.469232206338,3580.0682973,3580.0724815,3580.0600945,3580.065959,inconclusive,False,False,False,False,0.018432207249279429,0.018432207249279429,1,certified_midpoint,0,0.006144069083093142,0.0061440690830931455,0.041632647903500332,0.044271334623974555,2,0.02550316083370387,0.008731767553432626,0.015344277820039529,0.018432207249279429,1,certified_direct_parametric_root_solver,18,0.0030561396538532418,0.009231998512333046,0,0.042415041163625399,0,0.14451624825016807,0.1370732092139058,0.015344277820039529,0.018432207249279429,1,certified_direct_parametric_root_solver,18,0.0030561396538532418,0.009231998512333046,0,0.042415041163625399,0,0.14451419199372226,0.1370732092139058,False,False
moderate_seed3301,L2,1062.7089073661325,6337.611663567285,626.2685290960176,626.2685290960176,633.6737121,3580.0534352,384.9921543,384.8698747,inconclusive,False,False,True,True,0.030720345415465717,0.030720345415465717,1,certified_midpoint,0,0.006144069083093142,0.006144069083093142,0.047046941415999098,0,0,0.011009814639474463,0.004712901043463667,0.027033413473184283,0.030720345415465717,1,certified_direct_parametric_root_solver,18,0.0024571371408117076,0.009831001025374576,0.047597303722971315,0.047597298166771981,0,0.007167575136490914,0.0,0.027033413473184283,0.030720345415465717,1,certified_direct_parametric_root_solver,18,0.0024571371408117076,0.009831001025374576,0.047597303722971315,0.047597298166771981,0,0.007159958610343392,0.0,False,False
round32_multi_m_tight_T_V50_M2_seed104207248,L1,2715.6365853772545,2395.6434773318406,2681.6748217914587,2681.6748217914587,1071.9836258,899.9825117,1066.7264222,1067.388311,midpoint,True,True,True,True,0.36749999999999999,0.36749999999999999,1,certified_midpoint,0,0.1225,0.1225,0,2.1926844518023496,0,0.026643263930879697,0.0,0.45644260196685787,0.36749999999999999,1,certified_direct_parametric_root_solver,23,0.21144260196685788,0.033557398033142116,2.2371520639722333,2.2371518777001742,2,0.0666108410383805,0.0,0.45644260196685787,0.36749999999999999,1,certified_direct_parametric_root_solver,23,0.21144260196685788,0.033557398033142116,2.2371520639722333,2.2371518777001742,2,0.06665349309747834,0.0,False,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,L0,1.4522346323609776,2.3507266509701727,8.57969708674682,8.57969708674682,2.1392028,2.9183354,8.7588035,8.8038329,midpoint,True,True,True,True,0.063067981520525923,0.063067981520525923,1,certified_midpoint,0,0.06306798152052592,0.06306798152052592,0,0.20218132964034852,0,0.0006188600586951637,0.0,0.10116349143956958,0.063067981520525923,1,certified_direct_parametric_root_solver,22,0.10116349143956958,0.024972471601482263,0,0.22823729518754871,0,0.0015537360865168213,0.0,0.10116349143956958,0.063067981520525923,1,certified_direct_parametric_root_solver,22,0.10116349143956958,0.024972471601482263,0,0.22823729518754871,0,0.0015640836081006043,0.0,False,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,L3,0.7660561532069514,1.30525049708426,1.918078978419412,1.918078978419412,1.8068564,2.5628732,3.138054,3.206598,midpoint,True,True,True,True,0.44147587064368143,0.44147587064368143,1,certified_midpoint,0,0.0630679815205259,0.06306798152052595,0.50092201704001205,0,0,8.58536646518928e-05,0.0,0.37850788912315553,0.44147587064368143,1,certified_direct_parametric_root_solver,2,9.999999999998899e-05,0.12603596304105186,0.50092201704001205,0.50102201704001204,0,8.506755967759412e-05,0.0,0.37850788912315553,0.44147587064368143,1,certified_direct_parametric_root_solver,2,9.999999999998899e-05,0.12603596304105186,0.50092201704001205,0.50102201704001204,0,8.587779676176669e-05,0.0,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,L3,4.941132218428701,8.929783745780009,10.911959565171394,10.911959565171394,5.7933742,9.1603891,10.7874424,10.7805506,midpoint,True,True,True,True,0.44311994057114257,0.44311994057114257,1,certified_midpoint,0,0.06330284865302038,0.06330284865302038,0.45157503024794959,0,0,0.0003846497736505033,0.0,0.37991709191812217,0.44311994057114257,1,certified_direct_parametric_root_solver,2,9.999999999998899e-05,0.12650569730604078,0.45157503024794959,0.45167503024794953,0,0.000433900847737323,0.0,0.37991709191812217,0.44311994057114257,1,certified_direct_parametric_root_solver,2,9.999999999998899e-05,0.12650569730604078,0.45157503024794959,0.45167503024794953,0,0.0004333598516174989,0.0,False,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,K1ROOT,67.34000691823582,116.09538537957047,495.54954533816954,495.54954533816954,39.448328,66.2025194,279.7660394,279.9263531,midpoint,True,True,True,True,0.067806530841347426,0.067806530841347426,1,certified_midpoint,0,0.06780653084134743,0.06780653084134743,0.037295222890392894,0.084667838225087375,2,0.006235912219392963,0.0,0.024315969982928579,0.067806530841347426,1,certified_direct_parametric_root_solver,22,0.02431596998292858,0.11129709169976627,0.052839839210167189,0.052839801333485689,0,0.04648904675404433,0.0,0.024315969982928579,0.067806530841347426,1,certified_direct_parametric_root_solver,22,0.02431596998292858,0.11129709169976627,0.052839839210167189,0.052839801333485689,0,0.046514511082773206,0.0,False,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1ROOT,1547.2490689407362,3013.559933179583,2779.6525699936724,2779.6525699936724,689.6980381,1349.5383531,1228.8922964,1230.0758283,pmm,True,True,True,True,0.024734341307209723,0.024734341307209723,1,certified_midpoint,0,0.024734341307209723,0.024734341307209723,0.024872307366954508,0.037649503710854168,2,0.033974553836555475,0.0,0.011232505646245016,0.024734341307209723,1,certified_direct_parametric_root_solver,20,0.011232505646245016,0.038236176968174426,0.028523952287565994,0.02852403873637948,2,0.05020075899967379,0.0,0.011232505646245016,0.024734341307209723,1,certified_direct_parametric_root_solver,20,0.011232505646245016,0.038236176968174426,0.028523952287565994,0.02852403873637948,2,0.050256543761812454,0.0,False,False
