rule,split_count,retain_count,true_beneficial_split_count,true_harmful_split_count,false_split_count,false_retain_count,mean_oracle_regret,max_oracle_regret,weighted_oracle_regret,major_harmful_retained,decision_signature
c6,16,14,1,9,9,2,0.6517950529915891,5.002924924736155,1.338913588837917,False,high_imbalance_seed3201:L1=1|moderate_seed3301:L0=1|moderate_seed3301:L1=1|moderate_seed3301:L2=1|round32_multi_m_tight_T_V50_M2_seed104207248:L1=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:K1ROOT=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L0=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L1=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L2=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L3=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:K1ROOT=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L0=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L1=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L2=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L3=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:K1ROOT=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L0=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L1=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L2=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L3=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:K1ROOT=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L0=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L1=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L2=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L3=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:K1ROOT=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L0=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L1=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L2=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L3=1
gamma-veto,13,17,1,7,7,2,0.5509940429293382,5.002924924736155,1.3215143897255175,False,high_imbalance_seed3201:L1=1|moderate_seed3301:L0=1|moderate_seed3301:L1=1|moderate_seed3301:L2=1|round32_multi_m_tight_T_V50_M2_seed104207248:L1=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:K1ROOT=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L0=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L1=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L2=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L3=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:K1ROOT=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L0=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L1=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L2=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L3=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:K1ROOT=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L0=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L1=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L2=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L3=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:K1ROOT=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L0=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L1=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L2=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L3=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:K1ROOT=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L0=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L1=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L2=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L3=1
d-r43,12,18,2,6,6,1,0.16329471356980846,1.1519826279601542,0.012086539253166259,True,high_imbalance_seed3201:L1=1|moderate_seed3301:L0=1|moderate_seed3301:L1=0|moderate_seed3301:L2=1|round32_multi_m_tight_T_V50_M2_seed104207248:L1=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:K1ROOT=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L0=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L1=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L2=0|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L3=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:K1ROOT=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L0=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L1=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L2=0|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L3=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:K1ROOT=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L0=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L1=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L2=0|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L3=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:K1ROOT=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L0=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L1=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L2=0|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L3=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:K1ROOT=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L0=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L1=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L2=0|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L3=1
no-adaptive,30,0,3,21,21,0,0.946179455471609,5.002924924736155,1.3424557967602218,False,high_imbalance_seed3201:L1=1|moderate_seed3301:L0=1|moderate_seed3301:L1=1|moderate_seed3301:L2=1|round32_multi_m_tight_T_V50_M2_seed104207248:L1=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:K1ROOT=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L0=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L1=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L2=1|round39_small_hard_V10_M3_Q20_slot04_seed1145042375:L3=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:K1ROOT=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L0=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L1=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L2=1|round39_small_hard_V12_M3_Q20_slot07_seed621538683:L3=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:K1ROOT=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L0=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L1=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L2=1|round39_small_hard_V12_M3_Q30_slot08_seed1288546114:L3=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:K1ROOT=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L0=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L1=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L2=1|round39_small_medium_V10_M2_Q20_slot05_seed968549317:L3=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:K1ROOT=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L0=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L1=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L2=1|round39_small_medium_V12_M3_Q30_slot08_seed1343324363:L3=1
