stage,selection_use,instance,K0,parent_id,parent_lower,parent_upper,parent_canonical_model_sha256,matched_parent_identity,old_c6_action,Gamma_sum,D_R43,verified_incumbent,all_four_arms_present
post_selection_counterfactual,false,round39_small_hard_V10_M2_Q20_slot03_seed490008310,4,L0,0,0.1366293689664799,c05d5638a8743d017cccd297de33b33a99585cc9362339137c108516fbdbd7c9,True,split,0.44561856195275473,0.22998172132014211,0.5465174758659196,True
post_selection_counterfactual,false,round39_small_medium_V12_M1_Q30_slot07_seed907224013,4,L0,0,0.066725493719534776,be305db582325bd233c1a883bbb36ce1b35d7bb51f9b87660042ff4aecc76655,True,split,0.44604444944433114,0.2319327424786263,0.2669019748781391,True
true_counterfactual_development,true,high_imbalance_seed3201,4,L1,0.23749999999999999,0.47499999999999998,8e6943a66b584eee1a3843d61204deda10b3ceb8775f94c734d6cd4282ba5322,True,split,0.32209174238368293,0.22502573606992529,2.4434031919432,True
true_counterfactual_development,true,moderate_seed3301,4,L0,0,0.012288138166186287,5cad23af2a8ebdf20585de4235ee6ddbdec3c8fe252299f8d06d6223c112a3b4,True,split,0.23654289911839577,0.13483477868411115,0.04915255266474515,True
true_counterfactual_development,true,moderate_seed3301,4,L1,0.012288138166186287,0.024576276332372575,cb854001c4d111b1783a3ad7f48af1d2d4cb1cf5108d6fbc96d9f60395c21bee,True,split,0.063242889217223222,0.054047582491866052,0.04915255266474515,True
true_counterfactual_development,true,moderate_seed3301,4,L2,0.024576276332372575,0.036864414498558859,5d86fbf2ef56c9a1f0c5aa6b7cdf3fe7fab149afc29a20dd38db305997959db0,True,split,0.19623044349846588,0.18229109413904621,0.04915255266474515,True
true_counterfactual_development,true,round32_multi_m_tight_T_V50_M2_seed104207248,4,L1,0.245,0.48999999999999999,79b267ca522a4f15f9a0969515dad7752ac81161e309781ed4d1da1ded2738c9,True,split,0.42584086462086812,0.33410252896460679,2.854148761708783,True
true_counterfactual_development,true,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,K1ROOT,0,0.50454385216420738,5d8c2cc009c8e6cf5a433acb6e1964b84b6c31fd5effd5c30d673f736dcbdb26,True,exact-closure,0.30265114689486777,0.12246465324770393,0.5045438521642074,True
true_counterfactual_development,true,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,4,L0,0,0.12613596304105185,de968f20ba09df67c587d353dd0a76c06d163c4c99b835d81083bb1742b42736,True,split,0.37840208424082478,0.30739836619901117,0.5045438521642074,True
true_counterfactual_development,true,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,4,L1,0.12613596304105185,0.25227192608210369,0d5e38184417325439eec905fcce890858131521e853cea65947152f33cae9ef,True,exact-closure,0.12258084965206141,0.046075633619159229,0.5045438521642074,True
true_counterfactual_development,true,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,4,L2,0.25227192608210369,0.37840788912315554,e42d84c4756ad5159241d9811a3f4a7053bb9f4ee5e519810f8562f29a134b22,True,exact-closure,0.24302193167692501,0.091133224378847202,0.5045438521642074,True
true_counterfactual_development,true,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,4,L3,0.37840788912315554,0.50454385216420738,cbb4d7be6dcce89b10240077ad3e7acee5986d2348f585dad213f4ebe02f5cae,True,split,0.49998619484370266,0.37499999999999095,0.5045438521642074,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,K1ROOT,0,0.64711643345550207,9dc56aafb12e4f1c42826f038a3f610fec9d67c0a7e1d3fa8f4c0e229e35ef44,True,exact-closure,0.26370963664827773,0.099898149656373003,0.6471164334555021,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,L0,0,0.16177910836387552,db963cc486a0424dd1471bc03dba9900278d578efefbd34fc41ab538f3101c4f,True,exact-closure,0.059742343412412018,0.023446127260434702,0.6471164334555021,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,L1,0.16177910836387552,0.32355821672775104,4b26aee6f7891580cbb740569f392836141e59af5ec4a90c8f95d3612f4aa0f7,True,exact-closure,0.091276666494782208,0.034228749935543638,0.6471164334555021,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,L2,0.32355821672775104,0.48533732509162653,78a1a622b72c922436f62c009aeeec8cadbe2cc8937b02cd7b7537ec132f99f6,True,exact-closure,0.14376693155165787,0.053912599331872348,0.6471164334555021,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,L3,0.48533732509162653,0.64711643345550207,f8a6d18d9b8938c421763326d29eace0e02e022914467c82f4dcaac62dcd6732,True,exact-closure,0.33832904775213085,0.12874678581409835,0.6471164334555021,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,K1ROOT,0,0.50642278922416295,3ee6ad62f7c370ddf5a81a750b513daf97dba9de3210e9892b38d9bde4f198ec,True,exact-closure,0.280042837315153,0.10837844082553028,0.506343307565206,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,4,L0,0,0.12660569730604074,e423537137827e7916304b3c0bee8e6cf04c0483364b8dd3a64da8034b837610,True,native-target,0.00096825083340541286,0.017042788271897463,0.506422789224163,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,4,L1,0.12660569730604074,0.25321139461208148,a7deee276ae8dccfdeb947209a0c09fe33b2493e01c053490e6d01ea66c0413a,True,exact-closure,0.10274463185992763,0.038529236947472796,0.506343307565206,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,4,L2,0.25321139461208148,0.37981709191812218,6383b019a651d44e338e83e2e00d9593701326eaff99399920953490183a210f,True,exact-closure,0.1744327442144491,0.065412279080418773,0.506422789224163,True
true_counterfactual_development,true,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,4,L3,0.37981709191812218,0.50642278922416295,3cd6f353eea495dc7fcd138d27bbcf943d5eebebc699dbebf2fba57c982512d8,True,split,0.49999908838572615,0.2692694511011684,0.506422789224163,True
true_counterfactual_development,true,round39_small_medium_V10_M2_Q20_slot05_seed968549317,1,K1ROOT,0,0.13561306168269485,503923d51edf8d410b1fc8e25fed84dceba3896dc3658af1ba95dd029cedeacc,True,split,0.1250860014247771,0.087143780532537823,0.1215256536747018,True
true_counterfactual_development,true,round39_small_medium_V10_M2_Q20_slot05_seed968549317,4,L0,0,0.033903265420673713,96126bd21a5f9fc95ef33d6a080dc62e686317cb2f04dc08e69bbbba7590a4de,True,split,-0.048294297831353916,0.0052074610109335848,0.13561306168269485,True
true_counterfactual_development,true,round39_small_medium_V10_M2_Q20_slot05_seed968549317,4,L1,0.033903265420673713,0.067806530841347426,2a0a3a2bb17e0d92be4609547d60b0f7e4adc8853042fb960503573906bcddb3,True,split,0.0054060145490307703,0.016234508614406177,0.1215256536747018,True
true_counterfactual_development,true,round39_small_medium_V10_M2_Q20_slot05_seed968549317,4,L2,0.067806530841347426,0.10170979626202115,c99d88c4c959e9202c3d0a62abde7465b28d1a5e663c26087bfcf8e665d5c4d9,True,exact-closure,0.1641052779277643,0.06182271554206796,0.1286412486488195,True
true_counterfactual_development,true,round39_small_medium_V10_M2_Q20_slot05_seed968549317,4,L3,0.10170979626202115,0.13561306168269485,b891eea0b05e73fbe6b322362d6e2e9e63a60dea321d1d0bc4b52083af9f9822,True,exact-closure,0.49070222089075766,0.24302666566806783,0.13561306168269485,True
true_counterfactual_development,true,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,1,K1ROOT,0,0.049468682614419446,7b56f82eb47f6d7c627a29bb2e33a5353f6be5bc0eeecfdb5fa08af0e6e94353,True,split,0.10705813383971371,0.082194582350877524,0.04500155005562836,True
true_counterfactual_development,true,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0,0,0.012367170653604861,d5120ac4f313d587a3d9b0a51172bf0b6fd7b8b942a73c99450d6ad41908f9f7,True,split,-0.033860192955783748,0.014313046386748456,0.049468682614419446,True
true_counterfactual_development,true,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L1,0.012367170653604861,0.024734341307209723,82f6aea9d7f9619b60732b987f3b107066a79ede381e456a6f4082efd9f437eb,True,split,0.018268826076240238,0.025953456759128336,0.04500155005562836,True
true_counterfactual_development,true,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L2,0.024734341307209723,0.037101511960814584,17bce4d66b406a2d7fb86b7b20a807c2577d3e6668a9958ffc7638e4ec558059,True,split,0.049082449413828451,0.043700010595386481,0.046027033530220335,True
true_counterfactual_development,true,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L3,0.037101511960814584,0.049468682614419446,fe2fe5e8a5d18de62d3c917ca66eafc0c314ba6d0537b4a5a8ed330795700d6f,True,split,0.49998018562623314,0.37500000000000006,0.049468682614419446,True
