leaf,variant,budget_seconds,fractionality_source,nodes,checkpoint_best_node_count,plateau_detected
low_gini_1,plain_fixed_interval_mip,60,not_exposed_by_solver_json,1968,0,False
low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_solver_json,4171,0,False
low_gini_1,callback_no_cuts,60,not_exposed_by_solver_json,1980,1980,False
low_gini_1,callback_no_cuts,300,not_exposed_by_solver_json,4208,4208,False
low_gini_1,callback_cheap_cuts,60,not_exposed_by_solver_json,2540,2540,False
low_gini_1,callback_cheap_cuts,300,not_exposed_by_solver_json,9679,9679,False
low_gini_1,callback_low_gini_cuts,60,not_exposed_by_solver_json,6854,6854,False
low_gini_1,callback_low_gini_cuts,300,not_exposed_by_solver_json,27556,20745,False
low_gini_1,callback_local_centering,60,not_exposed_by_solver_json,3493,3492,False
low_gini_1,callback_local_centering,300,not_exposed_by_solver_json,16059,16059,False
low_gini_1,callback_full_gini_off,60,not_exposed_by_solver_json,6780,6780,False
low_gini_1,callback_full_gini_off,300,not_exposed_by_solver_json,27498,20747,False
low_gini_1,callback_full_gini_auto,60,not_exposed_by_solver_json,6780,6780,False
low_gini_1,callback_full_gini_auto,300,not_exposed_by_solver_json,27469,20740,False
low_gini_1,callback_full_paced,60,not_exposed_by_solver_json,3481,3481,False
low_gini_1,callback_full_paced,300,not_exposed_by_solver_json,16081,16081,False
low_gini_1,static_tailored_compact_bc,60,not_exposed_by_solver_json,3516,3516,False
low_gini_1,static_tailored_compact_bc,300,not_exposed_by_solver_json,16061,16061,False
low_gini_1,s_bucket_diagnostic,60,not_exposed_by_solver_json,0,0,False
low_gini_1,s_bucket_diagnostic,300,not_exposed_by_solver_json,0,0,False
low_gini_2,plain_fixed_interval_mip,60,not_exposed_by_solver_json,3484,0,False
low_gini_2,plain_fixed_interval_mip,300,not_exposed_by_solver_json,15079,0,False
low_gini_2,callback_no_cuts,60,not_exposed_by_solver_json,3172,3172,False
low_gini_2,callback_no_cuts,300,not_exposed_by_solver_json,14985,9453,False
low_gini_2,callback_cheap_cuts,60,not_exposed_by_solver_json,2946,2946,False
low_gini_2,callback_cheap_cuts,300,not_exposed_by_solver_json,7434,6275,False
low_gini_2,callback_low_gini_cuts,60,not_exposed_by_solver_json,4333,2451,True
low_gini_2,callback_low_gini_cuts,300,not_exposed_by_solver_json,13123,13123,False
low_gini_2,callback_local_centering,60,not_exposed_by_solver_json,3000,2150,True
low_gini_2,callback_local_centering,300,not_exposed_by_solver_json,8564,2150,True
low_gini_2,callback_full_gini_off,60,not_exposed_by_solver_json,4330,2440,True
low_gini_2,callback_full_gini_off,300,not_exposed_by_solver_json,13123,13123,False
low_gini_2,callback_full_gini_auto,60,not_exposed_by_solver_json,4316,2413,True
low_gini_2,callback_full_gini_auto,300,not_exposed_by_solver_json,13123,13123,False
low_gini_2,callback_full_paced,60,not_exposed_by_solver_json,2998,2149,True
low_gini_2,callback_full_paced,300,not_exposed_by_solver_json,8540,2150,True
low_gini_2,static_tailored_compact_bc,60,not_exposed_by_solver_json,2998,2147,True
low_gini_2,static_tailored_compact_bc,300,not_exposed_by_solver_json,8559,2151,True
low_gini_2,s_bucket_diagnostic,60,not_exposed_by_solver_json,0,0,False
low_gini_2,s_bucket_diagnostic,300,not_exposed_by_solver_json,0,0,False
low_gini_1,plain_fixed_interval_mip,1200,not_exposed_by_solver_json,16142,0,False
low_gini_1,callback_local_centering,1200,not_exposed_by_solver_json,41041,26863,False
low_gini_1,callback_full_paced,1200,not_exposed_by_solver_json,41134,26985,False
low_gini_1,static_tailored_compact_bc,1200,not_exposed_by_solver_json,41060,26967,False
low_gini_1,callback_full_paced,3600,not_exposed_by_solver_json,85620,26985,False
low_gini_1,plain_fixed_interval_mip,3600,not_exposed_by_solver_json,136731,0,False
