leaf,variant,budget_seconds,s_range_refinement_enabled,s_range_certificate_valid,coverage_used_for_paper_certificate,audit_passed,failures
low_gini_1,s_bucket_diagnostic,60,True,False,False,True,
low_gini_1,s_bucket_diagnostic,300,True,False,False,True,
low_gini_2,s_bucket_diagnostic,60,True,False,False,True,
low_gini_2,s_bucket_diagnostic,300,True,False,False,True,
