leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,60,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_60s.json,,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_plain_fixed_interval_mip_60s.lp,interval_unresolved_timeout,time limit exceeded,False,0.044318362677,0.0491525526647,0.0983507412255,0.004834189987700001,60.1189382,True,True,0.044318362677,0.0983507412255,solver_final_json,True,0,0,0.0,0.0,0,1968,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,f076a4ecfe3c5570,True,3fa039d78c1b46af,5078,1,1,760,0,0
low_gini_1,0.0122881381662,0.0245762763324,plain_fixed_interval_mip,300,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.045477018332,0.0491525526647,0.0747780966285,0.0036755343327000006,300.1316857,True,True,0.045477018332,0.0747780966285,solver_final_json,True,0,0,0.0,0.0,0,4171,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,e4de4f33369d66bd,True,3fa039d78c1b46af,5078,1,1,760,0,0
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,60,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_local_centering_60s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_local_centering_60s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_callback_local_centering_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460847610355,0.0491525526647,0.062413678699,0.003067791629199998,90.5411844,True,True,0.0460847610355,0.062413678699,cplex_time_limit_with_valid_best_bound,True,3,2,0.0460847610355,60.0075516,3492,3493,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,94a77cf6589551f8,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_1,0.0122881381662,0.0245762763324,callback_local_centering,300,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_local_centering_300s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_local_centering_300s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_callback_local_centering_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483334276129,0.0491525526647,0.0166649544617,0.0008191250517999987,300.615581,True,True,0.0483334276129,0.0166649544617,cplex_time_limit_with_valid_best_bound,True,11,10,0.0483334276129,300.0711207,16059,16059,low-gini,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,778113b14c254064,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_1,0.0122881381662,0.0245762763324,callback_full_paced,60,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_full_paced_60s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_full_paced_60s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_callback_full_paced_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460810881734,0.0491525526647,0.0624884024291,0.0030714644912999967,90.5670757,True,True,0.0460810881734,0.0624884024291,cplex_time_limit_with_valid_best_bound,True,3,2,0.0460810881734,60.0206705,3481,3481,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,3ab73690f0c7094f,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_1,0.0122881381662,0.0245762763324,callback_full_paced,300,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_callback_full_paced_300s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_full_paced_300s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_callback_full_paced_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483363709352,0.0491525526647,0.0166050730888,0.0008161817295000012,330.6110903,True,True,0.0483363709352,0.0166050730888,cplex_time_limit_with_valid_best_bound,True,11,10,0.0483363709352,300.0580857,16081,16081,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,69e20e947b3e6cd2,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,60,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_static_tailored_compact_bc_60s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_static_tailored_compact_bc_60s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_static_tailored_compact_bc_60s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0460933983998,0.0491525526647,0.0622379530475,0.003059154264899999,90.5666877,True,True,0.0460933983998,0.0622379530475,cplex_time_limit_with_valid_best_bound,True,3,2,0.0460933983998,60.0226895,3516,3516,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,38a6f9319a5b03fc,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_1,0.0122881381662,0.0245762763324,static_tailored_compact_bc,300,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_1_static_tailored_compact_bc_300s.json,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_static_tailored_compact_bc_300s.progress.csv,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_1_static_tailored_compact_bc_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0483334276129,0.0491525526647,0.0166649544617,0.0008191250517999987,330.634765,True,True,0.0483334276129,0.0166649544617,cplex_time_limit_with_valid_best_bound,True,11,10,0.0483334276129,300.0871721,16061,16061,full,40,41,0,2700,630,1,True,False,False,3.24074074074,29.9501813302,one_thread_fair,1,False,1c814755a5e55019,True,f17ee827e81d7ad7,15998,1,1,2470,80,0
low_gini_2,0.0245762763324,0.0368644144986,plain_fixed_interval_mip,60,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_2_plain_fixed_interval_mip_60s.json,,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_2_plain_fixed_interval_mip_60s.lp,interval_unresolved_timeout,time limit exceeded,False,0.048867537161,0.0491525526647,0.00579859006803,0.00028501550369999795,60.1243313,True,True,0.048867537161,0.00579859006803,solver_final_json,True,0,0,0.0,0.0,0,3484,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,fc2c53a839ec647e,True,df7f1aa859c8801c,5078,1,1,760,0,0
low_gini_2,0.0245762763324,0.0368644144986,plain_fixed_interval_mip,300,results\gf_tailored_bc_plateau_diagnosis_round\raw\moderate_low_gini_2_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_plateau_diagnosis_round\model_exports\moderate_low_gini_2_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.048894652654,0.0491525526647,0.00524693015354,0.0002579000107000018,300.1623057,True,True,0.048894652654,0.00524693015354,solver_final_json,True,0,0,0.0,0.0,0,15079,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,c7019b4c09215e14,True,df7f1aa859c8801c,5078,1,1,760,0,0
