leaf,variant,budget_seconds,progress_path,valid_checkpoint_rows,best_valid_lb_seen,final_lower_bound,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,,0,0.044318362677,0.044318362677,True,
low_gini_1,plain_fixed_interval_mip,300,,0,0.045477018332,0.045477018332,True,
low_gini_1,callback_no_cuts,60,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_no_cuts_60s.progress.csv,3,0.0448100613716,0.0448100613716,True,
low_gini_1,callback_no_cuts,300,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_no_cuts_300s.progress.csv,11,0.0457974538606,0.0457974538606,True,
low_gini_1,callback_cheap_cuts,60,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_cheap_cuts_60s.progress.csv,3,0.0440186823273,0.0440186823273,True,
low_gini_1,callback_cheap_cuts,300,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_cheap_cuts_300s.progress.csv,11,0.0468586008099,0.0468586008099,True,
low_gini_1,callback_low_gini_cuts,60,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_low_gini_cuts_60s.progress.csv,3,0.0467816308192,0.0467816308192,True,
low_gini_1,callback_low_gini_cuts,300,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_low_gini_cuts_300s.progress.csv,11,0.048388162834,0.048388162834,True,
low_gini_1,callback_local_centering,60,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_local_centering_60s.progress.csv,3,0.0460847610355,0.0460847610355,True,
low_gini_1,callback_local_centering,300,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_local_centering_300s.progress.csv,11,0.0483334276129,0.0483334276129,True,
low_gini_1,callback_full_gini_off,60,results\gf_tailored_bc_plateau_diagnosis_round\progress_traces\moderate_low_gini_1_callback_full_gini_off_60s.progress.csv,3,0.0467573339767,0.0467573339767,True,
