parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason,b_plus,eta_proof,eta_anchor,normalization_source,normalization_upper_bound
L0,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.078759337998938334,,,"proof",0.2669019748781391
L1,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.11047441594390901,0,0,"proof",0.2669019748781391
L0.1,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.078759337998938347,0,0,"proof",0.24750489414424628
L2,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.17719990966344379,0,0,"proof",0.24750489414424628
L3,true,1,1,1,0,,,0,"current_complete_child_infeasibility",0.24392540338297858,,,"proof",0.24750489414424628
L3.0,true,1,0,0,0,0,,0,"current_child_gain_not_strict",0.24392540338297858,0,0,"proof",0.24750489414424628
