id,cap,candidate_number,reference_number,reference,candidate_certificate,reference_certificate,wall_delta,UB_delta,LB_delta,signed_gap_delta,paired_build,same_paid_initial_routes
micro,20,2,1,P-GRB,True,True,0.1869999999180436,0.0,0.0,0.0,True,
E7,120,5,3,P-GRB,True,True,4.453999999910593,0.0,2.3245294578089215e-16,-2.3245294578089215e-16,True,
E7,120,5,4,K1-R,True,True,0.0,0.0,2.185751579730777e-16,-2.185751579730777e-16,True,True
E8,120,8,6,P-GRB,True,True,5.592999999877065,0.0,-1.734723475976807e-17,1.734723475976807e-17,True,
E8,120,8,7,K1-R,True,True,-0.07800000021234155,0.0,-1.0408340855860843e-17,1.0408340855860843e-17,True,True
D4,300,10,9,K1-R,True,True,-22.015999999828637,0.0,-3.2759495116607695e-10,3.2759495116607695e-10,True,True
D4,300,10,19,Q-PLUS,True,True,-45.39099999982864,0.0,-5.662372792869519e-10,5.662372792869519e-10,True,True
D3,300,12,11,K1-R,False,False,-0.0010000001639127731,-5.2611524906265306e-05,0.00020021801796158561,-0.0002528295428678509,True,True
D6,600,15,13,P-GRB,False,False,-0.3130000000819564,-0.00015804474911804145,-0.002455797637099494,0.0022977528879814524,True,
D6,600,15,14,K1-R,False,False,-0.015999999828636646,0.0,-0.000719282901192303,0.000719282901192303,True,True
C2,300,18,16,P-GRB,False,False,-0.0010000001639127731,0.0,0.035374984743223425,-0.035374984743223425,True,
C2,300,18,17,K1-R,False,False,-0.0010000001639127731,0.0,0.00908994147536446,-0.00908994147536446,True,True
