number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union
2,micro,ARC,17,1,8,True
4,E7,K1-R,1,1,0,True
5,E7,ARC,1,1,0,True
7,E8,K1-R,1,1,0,True
8,E8,ARC,1,1,0,True
9,D4,K1-R,1,1,0,True
10,D4,ARC,1,1,0,True
11,D3,K1-R,1,1,0,True
12,D3,ARC,1,1,0,True
14,D6,K1-R,3,1,1,True
15,D6,ARC,3,1,1,True
17,C2,K1-R,3,1,1,True
18,C2,ARC,3,1,1,True
19,D4,Q-PLUS,1,1,0,True
