number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,micro,P-GRB,native_correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,20,0.2190000000409782,0.0313009,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,aa88c138b71ef1c7b2f007090cd326536a36e63fade9714f197e9baf27071583,results\unified_exact_round66\local_raw\native_correctness\micro\P-GRB
2,micro,ARC,native_correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,20,0.4059999999590218,0.3684373,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0643928,0.0678798,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,94cb5e845e85cd2fb956cb99e13689d60346a2e0e520191c87b4db3ffc9d8800,results\unified_exact_round66\local_raw\native_correctness\micro\ARC
3,E7,P-GRB,small_rebind,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,1.3119999999180436,1.2944565,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0,,,,0,1,0,False,40f6239d5f404fc70711d0785beda6246ae98db9ef031f033162ad7e430b17e8,results\unified_exact_round66\local_raw\small_rebind\E7\P-GRB
4,E7,K1-R,small_rebind,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,5.765999999828637,5.7295197,True,optimal,0.020382503842219304,0.020382503842219284,2.0816681711721685e-17,1.0213014982292336e-15,within numerical tolerance,4.3834081,4.3905296,0.020382503842219304,1f124f95304a91a486f1144464755d7c69180fa7b9b6dc830f13820fce6ba492,3,2,0,False,4c8014f5c5095dc3fef27a9cd7a04c14fbd5c44bda5dac3f969cf156ef216711,results\unified_exact_round66\local_raw\small_rebind\E7\K1-R
5,E7,ARC,small_rebind,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,5.765999999828637,5.7481615,True,optimal,0.020382503842219304,0.020382503842219502,-1.97758476261356e-16,-9.702364233177719e-15,within numerical tolerance,4.3104258,4.3157706,0.020382503842219304,1f124f95304a91a486f1144464755d7c69180fa7b9b6dc830f13820fce6ba492,3,2,0,False,cdbde4605b7f411266c09dfe58329e751986ecb618cc13807245377873bef5d1,results\unified_exact_round66\local_raw\small_rebind\E7\ARC
6,E8,P-GRB,small_rebind,performance,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,12,3,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,1.6880000000819564,1.6552365,True,optimal,0.021337006039780566,0.02133700603978057,-3.469446951953614e-18,-1.6260233256180372e-16,within numerical tolerance,0,,,,0,1,0,False,bcc72b06b2994a1cfc9abee8ae96dfb8700fc01ed3a00ff4de15813ca48b3491,results\unified_exact_round66\local_raw\small_rebind\E8\P-GRB
7,E8,K1-R,small_rebind,performance,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,12,3,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,7.359000000171363,7.3341081,True,optimal,0.021337006039780566,0.021337006039780563,3.469446951953614e-18,1.6260233256180372e-16,within numerical tolerance,4.9498836,4.9568197,0.021337006039780566,1b7548391abcedd974881358c802fd53ef84c3c13aee8f793e33079c292f8176,3,2,0,False,a6a6729725dd2931cfb298fafe49e2cd71903e986cb4ad9a811b4593c033dec4,results\unified_exact_round66\local_raw\small_rebind\E8\K1-R
8,E8,ARC,small_rebind,performance,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,12,3,30,3600,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,120,7.280999999959022,7.2381629,True,optimal,0.021337006039780566,0.021337006039780552,1.3877787807814457e-17,6.504093302472149e-16,within numerical tolerance,4.9145447,4.9218353,0.021337006039780566,1b7548391abcedd974881358c802fd53ef84c3c13aee8f793e33079c292f8176,3,2,0,False,219df6a7daf686bed865c654e2939da4732bc598d20318dc1c0b9bc220567ae5,results\unified_exact_round66\local_raw\small_rebind\E8\ARC
9,D4,K1-R,proof_screen,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,300,129.39099999982864,129.3569074,True,optimal,0.506343307565206,0.5063433073265636,2.3864232812087494e-10,4.713053861981636e-10,within numerical tolerance,1.9820591,1.9873276,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,1,0,False,da9f67cdad4e2cf24d07297325149f2cc44dc057569b2eb74590fdd3c879d2d4,results\unified_exact_round66\local_raw\proof_screen\D4\K1-R
10,D4,ARC,proof_screen,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,f0b1fba4dcebdd358a03a8a01c22872ebf12dd95398f4969797ae8e039201d2e,300,107.375,107.3484399,True,optimal,0.506343307565206,0.5063433069989687,5.662372792869519e-10,1.1182872782692658e-09,within numerical tolerance,1.9762623,1.9822751,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,1,0,False,88ad0e4a4cd1037233a6d4ac33be3879c8ad327df632753496d6f472cc6bb510,results\unified_exact_round66\local_raw\proof_screen\D4\ARC
