number,id,arm,leaf_id,solve_kind,model_sha256,original_rows,original_columns,original_nonzeros,logged_LP_optimum
2,micro,ARC,L0,LP,375c0da72e9eab427db93e371fa957fabd6a184d60a31a46099c2a2ff258b498,211,88,587,0.1077380952
2,micro,ARC,L0.0,LP,a8c5fb71f957f9bfa2ee6c7e29ff2f446eb7fdabeb08bd38c31dcbf8aacb8c17,211,88,587,
2,micro,ARC,L0.1,LP,bb57a7b11ad3682493c18e20ea7feaa4fc29d74c49107c16dc917525a810625c,211,88,608,0.1861111111
2,micro,ARC,L0.1.0,LP,0dd9528ed9d9ad282238f544e220e6fa681646c82d9c1a5531e7e6fc00500147,211,88,608,0.1861111111
2,micro,ARC,L0.1.1,LP,a41aa82b6b151fda0ca75b10def61c5bd26b634f6140fef8ef7c0d9d8c2e9203,213,89,605,
2,micro,ARC,L0.1.0.0,LP,632982ac17dcf736b6c423f1cbcb8c0bf7430487d18503b592627cc4f272c8c8,211,88,608,
2,micro,ARC,L0.1.0.1,LP,132f142518c6703b3fa122ab48b33edb3e0a7fa404bc59701ff010cbcd31c23e,211,88,608,0.205952381
2,micro,ARC,L0.1.0.1.0,LP,0dfe03e9cd3f5982535b60450b351919b30aa0ac51562d824002be5b134cc3ba,211,88,608,0.205952381
2,micro,ARC,L0.1.0.1.1,LP,0794038a1001ff237a964b86994e8d078127595edcda16531ba05fbca02e093e,213,89,605,
2,micro,ARC,L0.1.0.1.0.0,LP,63c53ba44a68b6314df0ac74f0cdea0772c036d4ed0c6626d3d1beaf449384e7,211,88,608,0.205952381
2,micro,ARC,L0.1.0.1.0.1,LP,265d7ac943a02514c236059bb8c29a6af761bee13acce33d9e61adcde0a9c062,213,89,605,
2,micro,ARC,L0.1.0.1.0.0.0,LP,fcab84b33df94b69cd5c56bf05d9f32ed11c076fea08366d76c24b7ac700f2b4,211,88,608,0.2060918899
2,micro,ARC,L0.1.0.1.0.0.1,LP,e36bd28dc8d8c97edf9f189abeaf3847258d1d99aee3c3089cc06d177c1baa79,213,89,605,
2,micro,ARC,L0.1.0.1.0.0.0.0,LP,f01944cb4c49a8fb3426b4bf2fc8c9ca7aa4a6328dbe4b0b0b94a4d5e7da9d71,211,88,608,
2,micro,ARC,L0.1.0.1.0.0.0.1,LP,713fd01612dd50e216b38d87a9fc9166effee550d65ae79dede5ecf04e98e870,211,88,608,0.2072544643
2,micro,ARC,L0.1.0.1.0.0.0.1.0,LP,65c96d3809ed4c97fcfa9f2db845b85e890860732478a1b299f5a74b2ce04e24,211,88,608,
2,micro,ARC,L0.1.0.1.0.0.0.1.1,LP,180125f3cc03aa0be791ff88328361b62563583afdb617218b3972d8c1b58e49,211,88,608,0.2078357515
2,micro,ARC,L0.1.0.1.0.0.0.1.1,MIP,180125f3cc03aa0be791ff88328361b62563583afdb617218b3972d8c1b58e49,211,88,608,
4,E7,K1-R,L0,LP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,0.009821307813
4,E7,K1-R,L0.0,LP,59332100910105df71425a66c5e02e5bee868cd8cb63d27cbb0dffbc2d20965c,3109,1018,14992,0.01021588776
4,E7,K1-R,L0.1,LP,71584a54826d9529fbdd62e1bf46bea70ccc98b2c38f71b1cc6bd174809c1d89,3111,1018,15144,0.01668421292
4,E7,K1-R,L0,CHILD_BOUND_TARGET_MIP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,
4,E7,K1-R,L0,MIP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,
5,E7,ARC,L0,LP,f540a9f87591e80769e1d1388acfb100fd9f57475ed6e38d77b23a6861992264,2869,1306,13648,0.009821307813
5,E7,ARC,L0.0,LP,356a8f4dde41fae25a3b37eb837895b00ce5cac5a824c63951a2d31ef5f3416f,2869,1306,13648,0.01021588776
5,E7,ARC,L0.1,LP,61d0856de38a5df455f7119adbaa18f4778ea5f2d986085239e9b9bf33aaf9b9,2871,1306,13800,0.01668421292
5,E7,ARC,L0,CHILD_BOUND_TARGET_MIP,f540a9f87591e80769e1d1388acfb100fd9f57475ed6e38d77b23a6861992264,2869,1306,13648,
5,E7,ARC,L0,MIP,f540a9f87591e80769e1d1388acfb100fd9f57475ed6e38d77b23a6861992264,2869,1306,13648,
7,E8,K1-R,L0,LP,03cf7e213ee2f7af937d839cd35d0a0e106e4b2376d921cea744828c9f9b747e,4146,1406,20092,0.01049808026
7,E8,K1-R,L0.0,LP,6f4c877859c9f69168e3e66e97fb10986df76583170646fa457b579c425a3cda,4146,1406,20092,0.01129950085
7,E8,K1-R,L0.1,LP,789592986a847b9649f433f0f4a3f00c52cae9a863ebedd17bc14413f762d0ba,4147,1406,20246,0.01773750003
