"component","row","closed","attempted","timed_out","max_depth","child_time_limit","strengthening","result"
"baseline_auto_oracle","moderate_seed3301_oracle600","4","14","7","2","1200","before preset low-gini defaults were enabled for this row","noncertified"
"low_gini_penalty_domain_plus_deeper_split","moderate_seed3301_oracle_deep","4","20","12","3","1800","low-gini and penalty-domain oracle tightening enabled; recursive split depth 3","noncertified, same two root leaves remain open"
