"interval_id","gamma_L","gamma_U","interval_lower_bound","incumbent_upper_bound","interval_status","reason","certificate_basis","requires_pricing_closure","pricing_closure_available","interval_bound_valid","bpc_nodes","open_nodes","generated_columns","cuts","pricing_calls","pricing_time_seconds","rmp_solve_time_seconds","relaxation_time_seconds","lower_bound_source","lower_bound_sources","row","source_json"
"-1","0","0","0","0","global","zero_objective_nonnegative_global_bound","zero_objective_global","false","false","true","0","0","0","0","0","0","0","0","nonnegative_objective","nonnegative_objective","v4_smoke","v4_smoke.json"
"0","0","0.179626017689","0.718504070755","0.718504070755","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","10.0883752","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m2_300s","v12_m2_300s.json"
"1","0.179626017689","0.359252035377","0.718504070755","0.718504070755","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","10.0965146","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m2_300s","v12_m2_300s.json"
"2","0.359252035377","0.538878053066","0.718504070755","0.718504070755","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","28.117323","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m2_300s","v12_m2_300s.json"
"3","0.538878053066","0.718504070755","0.718504070755","0.718504070755","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","3.7685527","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m2_300s","v12_m2_300s.json"
"0","0","0.0893001458021","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","13.732375","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"1","0.0893001458021","0.178600291604","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","11.9866605","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"2","0.178600291604","0.267900437406","0.281588031688","0.357200583208","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","46.4746944","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"3","0.267900437406","0.357200583208","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","4.9876931","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"4","0.178600291604","0.223250364505","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","13.798774","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"5","0.223250364505","0.267900437406","0.326238104589","0.357200583208","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","37.4439461","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"6","0.223250364505","0.245575400956","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","23.1030278","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"7","0.245575400956","0.267900437406","0.34856314104","0.357200583208","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","33.0501781","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"8","0.245575400956","0.256737919181","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","10.4175543","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"9","0.256737919181","0.267900437406","0.357200583208","0.357200583208","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","6.4041221","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","v12_m1_600s","v12_m1_600s.json"
"0","0","0.2375","1.74931345205","1.74931345205","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","19.0946076","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","high_imbalance_seed3202","high_imbalance_seed3202.json"
"1","0.2375","0.475","1.74931345205","1.74931345205","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","20.5842355","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","high_imbalance_seed3202","high_imbalance_seed3202.json"
"2","0.475","0.7125","1.06421478404","1.74931345205","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","88.7806869","cheap_projection_bound","gamma_floor|cheap_projection_bound","high_imbalance_seed3202","high_imbalance_seed3202.json"
"3","0.7125","0.95","1.74931345205","1.74931345205","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","16.4508836","inventory_route_gini_relaxation","gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation","high_imbalance_seed3202","high_imbalance_seed3202.json"
"4","0.475","0.59375","1.74931345205","1.74931345205","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","22.1562965","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","high_imbalance_seed3202","high_imbalance_seed3202.json"
"5","0.59375","0.7125","1.74931345205","1.74931345205","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","18.5195405","inventory_route_gini_relaxation","gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation","high_imbalance_seed3202","high_imbalance_seed3202.json"
"0","0","0.0268131835335","0.107252734134","0.107252734134","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","11.5998387","inventory_route_gini_relaxation","gamma_floor|inventory_route_gini_relaxation","tight_T_seed3101","tight_T_seed3101.json"
"1","0.0268131835335","0.053626367067","0.107252734134","0.107252734134","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","15.1568365","inventory_route_gini_relaxation","gamma_floor|inventory_route_gini_relaxation","tight_T_seed3101","tight_T_seed3101.json"
"2","0.053626367067","0.0804395506005","0.053626367067","0.107252734134","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","58.9535577","gamma_floor","gamma_floor","tight_T_seed3101","tight_T_seed3101.json"
"3","0.0804395506005","0.107252734134","0.0804395506005","0.107252734134","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","57.750301","gamma_floor","gamma_floor","tight_T_seed3101","tight_T_seed3101.json"
"4","0.053626367067","0.0670329588337","0.107252734134","0.107252734134","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","14.7625264","inventory_route_gini_relaxation","gamma_floor|inventory_route_gini_relaxation","tight_T_seed3101","tight_T_seed3101.json"
"5","0.0670329588337","0.0804395506005","0.0670329588337","0.107252734134","replaced_by_children","split_parent_replaced","unresolved","false","false","true","0","1","0","0","0","0","0","58.2693065","gamma_floor","gamma_floor","tight_T_seed3101","tight_T_seed3101.json"
"6","0.0670329588337","0.0737362547171","0.107252734134","0.107252734134","bound_fathomed","inventory_route_gini_relaxation","inventory_route_gini_relaxation_fathomed","false","false","true","0","0","0","0","0","0","0","14.6065355","inventory_route_gini_relaxation","gamma_floor|inventory_route_gini_relaxation","tight_T_seed3101","tight_T_seed3101.json"
