"row","auto_interval_oracle_called","auto_interval_oracle_total_final_leaves","auto_interval_oracle_leaves_attempted","auto_interval_oracle_leaves_closed","auto_interval_oracle_leaves_timed_out","auto_interval_oracle_leaves_split","auto_interval_oracle_remaining_open_leaves","auto_interval_oracle_recursive_depth_reached","auto_interval_oracle_children_attempted"
"v4_smoke","False","0","0","0","0","0","0","0","0"
"v12_m2_300s","False","0","0","0","0","0","0","0","0"
"v12_m1_600s","False","0","0","0","0","0","0","0","0"
"high_imbalance_seed3202","False","0","0","0","0","0","0","0","0"
"tight_T_seed3101","False","0","0","0","0","0","0","0","0"
"moderate_seed3301","True","6","20","4","12","7","2","3","14"
"tight_T_seed3102","True","3","9","0","9","3","3","1","6"
"high_imbalance_seed3201","True","2","6","0","6","2","2","1","4"
"moderate_seed3302","","","","","","","","",""
