leaf_id,attempt,new_leaf,same_leaf_retained,fresh_restart,child_restart,reset_called,model_modified,retained_state_classification,continuation_claimed,continuation_evidence,presolve_rerun,root_relaxation_rerun,incumbent_state_reused,model_fingerprint_match,native_log_path
L0,0,1,0,1,1,0,0,fresh_model_restart,0,0,1,1,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L0_attempt_0.gurobi.log
L0,1,0,1,0,0,0,0,fresh_restart,0,0,1,0,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L0_attempt_1.gurobi.log
L0.0,0,1,0,1,1,0,0,fresh_model_restart,0,0,1,1,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L0.0_attempt_0.gurobi.log
L0.1,0,1,0,1,1,0,0,fresh_model_restart,0,0,1,1,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L0.1_attempt_0.gurobi.log
L0.1,1,0,1,0,0,0,0,fresh_restart,0,0,1,0,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L0.1_attempt_1.gurobi.log
L1,0,1,0,1,1,0,0,fresh_model_restart,0,0,1,1,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L1_attempt_0.gurobi.log
L2,0,1,0,1,1,0,0,fresh_model_restart,0,0,1,1,0,1,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__moderate_seed6301__c0_diag__300s\external\native_logs\L2_attempt_0.gurobi.log
