leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,30.006,90.1638,1,30269,0,30.006,90.1638,1,30269,0,0
L0,1,60,60.006,185.175,1,87814,0,90.012,275.339,2,118083,0,0
L0.0,0,30,24.311,71.794,1,27968,0,24.311,71.794,1,27968,0,0
L0.1,0,30,30.006,87.409,1,30221,0,30.006,87.409,1,30221,0,0
L0.1,1,60,42.075,122.549,1,75568,0,72.081,209.958,2,105789,0,0
L1,0,30,30.073,74.2228,1,23450,0,30.073,74.2228,1,23450,0,0
L2,0,16.9983,17.018,41.703,1,17382,0,17.018,41.703,1,17382,0,0
