variant,status,runtime_seconds,pricing_calls,pricing_time_seconds,columns,pricing_labels_generated,pricing_labels_expanded,label_dominance_pruned_labels,pricing_labels_pruned_dominance,operation_dp_dominance_pruned_states,completion_lb_pruned_labels,pricing_best_reduced_cost_any,pricing_closure_certified_exact
safe,gcap_tree_not_closed,30.5922103,3,27.8156806,42278,199091172,4530353,193514522,193514522,0,3566842,-0.00426264354879,False
off_diagnostic,gcap_tree_not_closed,10.1390377,3,7.3146971,42278,54728651,881627,52933053,52933053,0,122556,-0.00426264354879,False
