instance_name,status,lower_bound,upper_bound,gap,runtime_seconds,pricing_calls,intervals_closed_by_relaxation_count,intervals_closed_by_bpc_count,intervals_unresolved_count,plateau_reason,finalization_source
regen_V100_M5_average.txt,large_v_diagnostic_not_closed,0.0,0.0,1.0,30.0,0,0,0,1,large_v_no_solver_final_json_under_short_budget,wrapper_checkpoint
regen_V50_M3_average.txt,large_v_diagnostic_not_closed,0.0,0.0,1.0,30.0,0,0,0,1,large_v_no_solver_final_json_under_short_budget,wrapper_checkpoint
