result_file,instance,classification,status,certified_original_problem,uses_interval_oracle,uses_bpc_tree,gap
results\bpc_pricing_optimization_round\raw\high_imbalance_seed3202_core.json,high_imbalance_seed3202.txt,paper-gf-bpc-core,gcap_frontier_not_closed,False,False,False,0.391638598107
results\bpc_pricing_optimization_round\raw\moderate_seed3301_core.json,moderate_seed3301.txt,paper-gf-bpc-core,gcap_frontier_not_closed,False,False,False,1
results\bpc_pricing_optimization_round\raw\tight_T_seed3101_core.json,tight_T_seed3101.txt,paper-gf-bpc-core,gcap_frontier_not_closed,False,False,False,0.5
results\bpc_pricing_optimization_round\raw\v100_m5_avg_core_30s.json,regen_V100_M5_average.txt,large_v_diagnostic,large_v_diagnostic_not_closed,False,False,False,1.0
results\bpc_pricing_optimization_round\raw\v12_m1_core.json,regen_candidate_V12_M1_average.txt,paper-gf-bpc-core,gcap_frontier_not_closed,False,False,False,0.211680929636
results\bpc_pricing_optimization_round\raw\v12_m2_core.json,regen_candidate_V12_M2_average.txt,paper-gf-bpc-core,interrupted_noncertified,False,False,False,1.0
results\bpc_pricing_optimization_round\raw\v50_m3_avg_core_30s.json,regen_V50_M3_average.txt,large_v_diagnostic,large_v_diagnostic_not_closed,False,False,False,1.0
