vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,7,6,10,0,0,10,330.4408167046474,600.0,16
0,2,7,6,13,7,0,10,17,765.1214645579671,420.0,10
0,3,6,13,2,0,5,17,12,269.46144126974974,300.0,10
0,4,13,2,5,0,9,12,3,683.4751992350997,540.0,15
0,5,2,5,14,9,0,3,12,1887.6172259003513,540.0,13
0,6,5,14,17,0,2,12,10,884.365482747894,120.0,5
0,7,14,17,19,7,0,10,17,781.2056808832925,420.0,9
0,8,17,19,4,0,7,17,10,580.9901416612391,420.0,15
0,9,19,4,0,0,4,10,6,696.7025863563231,240.0,8
1,1,0,10,15,7,0,0,7,493.3829529355901,420.0,10
1,2,10,15,8,7,0,7,14,246.4161567909672,420.0,11
1,3,15,8,12,0,5,14,9,711.094174042567,300.0,11
1,4,8,12,1,7,0,9,16,1282.397716156672,420.0,9
1,5,12,1,3,0,6,16,10,790.0162381437572,360.0,12
1,6,1,3,11,0,5,10,5,1172.786094179171,300.0,10
1,7,3,11,9,0,5,5,0,852.6752915261405,300.0,11
1,8,11,9,18,9,0,0,9,505.26502868047714,540.0,12
1,9,9,18,20,0,4,9,5,466.3506850948958,240.0,8
1,10,18,20,16,7,0,5,12,705.2107956884147,420.0,9
1,11,20,16,0,8,0,12,20,455.3628854039132,480.0,12
