leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.089300145802103881,0,0.35720058320841552,empty,1,0,1,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.089300145802103881,0.17860029160420776,0.089300145802103881,1e+100,empty,1,1,0,0.27726096936095629,0,1,0,"c6_native_target_phase_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L2,"",0,-1,0.17860029160420776,0.26790043740631164,0.17860029160420776,0.33911872351167444,open,1,1,0,0.29424322429778327,0,1,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;valid_next_leaf_target_native_bound"
L3,"",0,-1,0.26790043740631164,0.35720058320841552,0.26790043740631164,0.35403537724225576,open,1,1,0,0.35403537724225576,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
