variant_name,time_limit_seconds,interval_id,pricing_calls,pricing_time_seconds,pricing_engine,final_pricing_engine,labels_generated,labels_kept,labels_expanded,labels_pruned_duration,labels_pruned_load,labels_pruned_station,labels_pruned_support,labels_pruned_reduced_cost,dominance_prunes,operation_dp_prunes,negative_columns_found,columns_inserted,best_reduced_cost,remaining_negative_rc,closure_status,source_dir
all_improvements_300_high_imbalance_seed3202,300,9,1,291.4644201,exact-label,exact-label,224187071,0,224187071,734026034,0,0,0,0,0,0,0,0,0.0700591864494,0,not_run,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_moderate_seed3301,300,2,1,278.227128,exact-label,exact-label,169679957,0,169679957,542722685,0,0,0,0,0,103089986,0,0,0.00469307183545,0,not_run,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_v12_m1,300,12,1,299.3834303,exact-label,exact-label,82846349,0,82846349,8536243,0,0,0,0,0,0,0,0,-0.00470697892369,0,not_run,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m2,300,7,2,298.2254088,exact-label,exact-label,104692374,0,104692374,39765234,0,0,0,0,0,626039488,2,2,-0.00752183449778,0,not_run,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2_forced,300,7,1,298.7868605,exact-label,exact-label,106811911,0,106811911,40574138,0,0,0,0,0,1125635095,0,0,0.0103294366883,0,not_run,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_moderate_seed3301_3600,3600,2,1,3579.8483364,exact-label,exact-label,1963535801,0,1963535801,5628914322,0,0,0,0,0,1546788058,0,0,0.00469307183545,0,not_run,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_v12_m1_3600,3600,12,1,3599.4064447,exact-label,exact-label,982180444,0,982180444,100182568,0,0,0,0,0,7151326179,0,0,-0.0088398618421,0,not_run,results\bpc_core_repair_round\all_improvements_3600_v12_m1
all_improvements_v12_m2_3600,3600,7,4,3596.6967389,exact-label,exact-label,1223104599,0,1223104599,472442749,0,0,0,0,0,6591290017,6,6,-0.00327041731624,0,not_run,results\bpc_core_repair_round\all_improvements_3600_v12_m2
baseline_moderate_seed3301_1200,1200,2,1,1174.4064473,exact-label,exact-label,676710554,0,676710554,1993259952,0,0,0,0,0,501623266,0,0,0.00469307183545,0,not_run,results\bpc_core_repair_round\baseline_1200_moderate_seed3301
baseline_v12_m1_1200,1200,12,1,1199.3734423,exact-label,exact-label,347540508,0,347540508,35955676,0,0,0,0,0,2886964890,0,0,-0.00470697892369,0,not_run,results\bpc_core_repair_round\baseline_1200_v12_m1
baseline_v12_m2_1200,1200,7,3,1197.3973203,exact-label,exact-label,428435650,0,428435650,166485753,0,0,0,0,0,2269816485,4,4,-0.00578921576109,0,not_run,results\bpc_core_repair_round\baseline_1200_v12_m2
baseline_300_high_imbalance_seed3202,300,9,1,291.0975292,exact-label,exact-label,225792013,0,225792013,736968331,0,0,0,0,0,0,0,0,0.0700591864494,0,not_run,results\bpc_core_repair_round\baseline_300_high_imbalance_seed3202
baseline_300_moderate_seed3301,300,2,1,273.3004118,exact-label,exact-label,173945096,0,173945096,551610189,0,0,0,0,0,107390663,0,0,0.00469307183545,0,not_run,results\bpc_core_repair_round\baseline_300_moderate_seed3301
baseline_300_v12_m1,300,12,1,299.3970496,exact-label,exact-label,87442803,0,87442803,9404891,0,0,0,0,0,0,0,0,-0.00470697892369,0,not_run,results\bpc_core_repair_round\baseline_300_v12_m1
baseline_300_v12_m2,300,7,2,298.2860543,exact-label,exact-label,104009341,0,104009341,39604471,0,0,0,0,0,618664440,2,2,-0.00752183449778,0,not_run,results\bpc_core_repair_round\baseline_300_v12_m2
baseline_300_v12_m2_forced,300,7,1,298.719194,exact-label,exact-label,108817682,0,108817682,41645003,0,0,0,0,0,1149989833,0,0,0.0103294366883,0,not_run,results\bpc_core_repair_round\baseline_300_v12_m2_forced
