variant_name,time_limit_seconds,interval_id,gamma_L,gamma_U,return_code,status,lower_bound,upper_bound,gap,nodes,open_nodes,pricing_calls,pricing_time_seconds,master_time_seconds,columns,cuts_added,pricing_closure_status,pricing_completed_exactly,pricing_closure_certified_exact,pricing_best_reduced_cost_any,pricing_remaining_negative_rc,exact_pricing_closed,stop_reason,result_file,source_dir
all_improvements_300_high_imbalance_seed3202,300,9,0.5046875,0.534375,0,gcap_tree_not_closed,0.5046875,0,1,1,1,1,291.4644201,1.3260594,94059,0,not_run,False,False,0.0700591864494,0,False,,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202\leaf_9.json,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_moderate_seed3301,300,2,0.0245762763324,0.0368644144986,0,gcap_tree_not_closed,0.0245762763324,0,1,1,1,1,278.227128,2.2121671,166161,0,not_run,False,False,0.00469307183545,0,False,,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301\leaf_2.json,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_v12_m1,300,12,0.223250364505,0.234412882731,0,gcap_tree_not_closed,0.223250364505,0,1,1,1,1,299.3834303,0.4041896,26006,0,not_run,False,False,-0.00470697892369,0,False,,results\bpc_core_repair_round\all_improvements_300_v12_m1\leaf_12.json,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m2,300,7,0.493971548644,0.538878053066,0,gcap_tree_not_closed,0.493971548644,0,1,1,1,2,298.2254088,1.1716024,42248,0,not_run,False,False,-0.00752183449778,0,False,,results\bpc_core_repair_round\all_improvements_300_v12_m2\leaf_7.json,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2_forced,300,7,0.493971548644,0.538878053066,0,gcap_tree_not_closed,0.493971548644,0,1,1,1,1,298.7868605,0.8794453,43254,0,not_run,False,False,0.0103294366883,0,False,,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced\leaf_7.json,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_moderate_seed3301_3600,3600,2,0.0245762763324,0.0368644144986,0,gcap_tree_not_closed,0.0245762763324,0,1,1,1,1,3579.8483364,2.1350387,166161,0,not_run,False,False,0.00469307183545,0,False,,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301\leaf_2.json,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_v12_m1_3600,3600,12,0.223250364505,0.234412882731,0,gcap_tree_not_closed,0.223250364505,0,1,1,1,1,3599.4064447,0.3904861,26006,0,not_run,False,False,-0.0088398618421,0,False,,results\bpc_core_repair_round\all_improvements_3600_v12_m1\leaf_12.json,results\bpc_core_repair_round\all_improvements_3600_v12_m1
all_improvements_v12_m2_3600,3600,7,0.493971548644,0.538878053066,0,gcap_tree_not_closed,0.493971548644,0,1,1,1,4,3596.6967389,2.3064343,42252,0,not_run,False,False,-0.00327041731624,0,False,,results\bpc_core_repair_round\all_improvements_3600_v12_m2\leaf_7.json,results\bpc_core_repair_round\all_improvements_3600_v12_m2
baseline_moderate_seed3301_1200,1200,2,0.0245762763324,0.0368644144986,0,gcap_tree_not_closed,0.0245762763324,0,1,1,1,1,1174.4064473,2.2392663,166161,0,not_run,False,False,0.00469307183545,0,False,,results\bpc_core_repair_round\baseline_1200_moderate_seed3301\leaf_2.json,results\bpc_core_repair_round\baseline_1200_moderate_seed3301
baseline_v12_m1_1200,1200,12,0.223250364505,0.234412882731,0,gcap_tree_not_closed,0.223250364505,0,1,1,1,1,1199.3734423,0.4037726,26006,0,not_run,False,False,-0.00470697892369,0,False,,results\bpc_core_repair_round\baseline_1200_v12_m1\leaf_12.json,results\bpc_core_repair_round\baseline_1200_v12_m1
