variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned,source_dir
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,1,1,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,2,22,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,3,187,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,4,189,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,5,2919,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,6,29440,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,7,222608,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,8,1197165,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,9,4722473,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,10,14130384,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,11,33479250,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,12,63969701,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,13,99319714,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,14,125106190,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,15,126181685,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,16,98642651,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,17,56248338,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,18,21021933,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,19,4539023,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,20,402127,0,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_moderate_seed3301,300,2,0,aggregate,1,1,0,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,2,12,0,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,3,32,54,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,4,160,54,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,5,603,155,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,6,5619,1351,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,7,55909,11381,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,8,386010,69936,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,9,1920873,322403,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,10,7093959,1136134,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,11,20068870,3091155,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,12,44485411,6604878,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,13,79087383,11309750,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,14,114355135,15935177,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,15,136347940,19001618,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,16,135680721,19095692,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,17,110166495,15130202,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,18,66299256,8328610,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,19,25427976,2689621,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_moderate_seed3301,300,2,0,aggregate,20,4499277,361815,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_v12_m1,300,12,0,aggregate,1,1,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,2,242,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,3,23514,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,4,351064,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,5,3347506,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,6,23942900,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,7,130981391,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,8,532802730,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,9,1502700972,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,10,2590323005,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,11,2281798801,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m1,300,12,0,aggregate,12,739344056,0,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m2,300,7,0,aggregate,1,2,0,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,2,368,0,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,3,22509,14886,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,4,410703,163398,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,5,4290580,1131680,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,6,31048305,5965558,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,7,162813259,24283037,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,8,599012356,73994795,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,9,1417661867,156211834,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,10,1908194381,201035004,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,11,1265697903,131651313,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2,300,7,0,aggregate,12,308728408,31587983,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2_forced,300,7,0,aggregate,1,2,0,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,2,317,0,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,3,8695,17629,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,4,218291,239646,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,5,2900608,1785963,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,6,24159356,9874169,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,7,137428312,42567452,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,8,530005883,135187034,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,9,1289079304,287970812,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,10,1763739241,364804225,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,11,1185603255,230774186,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_300_v12_m2_forced,300,7,0,aggregate,12,293549344,52413979,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,1,1,0,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,2,12,0,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,3,32,54,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,4,160,54,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,5,2379,627,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,6,30969,7064,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,7,320534,63410,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,8,2418252,430078,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,9,13435534,2224618,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,10,56003965,8901993,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,11,180362413,27943276,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,12,456581513,69769472,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
