variant_name,time_limit_seconds,interval_id,call_index,vehicle,event,pricing_engine_used,time_seconds,exact_completed,early_negative_stop,generated_columns,returned_negative_columns,route_states,operation_states,pricing_state_stop_reason,pricing_label_dominance_mode,pricing_label_dominance_exact_safe,pricing_completion_bound_mode,pricing_decomposition,pricing_route_skeleton_mode,pricing_load_dp_cache_enabled,pricing_route_skeleton_cache_enabled,pricing_load_dp_dominance_enabled,pricing_operation_dp_dominance_enabled,best_reduced_cost,source_dir
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,aggregate_result_json,exact-label,291.4644201,False,False,0,0,224187071,0,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.0700591864494,results\bpc_core_repair_round\all_improvements_300_high_imbalance_seed3202
all_improvements_300_moderate_seed3301,300,2,0,aggregate,aggregate_result_json,exact-label,278.227128,False,False,0,0,169679957,103089986,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.00469307183545,results\bpc_core_repair_round\all_improvements_300_moderate_seed3301
all_improvements_300_v12_m1,300,12,0,aggregate,aggregate_result_json,exact-label,299.3834303,False,False,0,0,82846349,0,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00470697892369,results\bpc_core_repair_round\all_improvements_300_v12_m1
all_improvements_300_v12_m2,300,7,0,aggregate,aggregate_result_json,exact-label,298.2254088,False,False,2,2,104692374,626039488,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00752183449778,results\bpc_core_repair_round\all_improvements_300_v12_m2
all_improvements_300_v12_m2_forced,300,7,0,aggregate,aggregate_result_json,exact-label,298.7868605,False,False,0,0,106811911,1125635095,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.0103294366883,results\bpc_core_repair_round\all_improvements_300_v12_m2_forced
all_improvements_moderate_seed3301_3600,3600,2,0,aggregate,aggregate_result_json,exact-label,3579.8483364,False,False,0,0,1963535801,1546788058,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.00469307183545,results\bpc_core_repair_round\all_improvements_3600_moderate_seed3301
all_improvements_v12_m1_3600,3600,12,0,aggregate,aggregate_result_json,exact-label,3599.4064447,False,False,0,0,982180444,7151326179,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.0088398618421,results\bpc_core_repair_round\all_improvements_3600_v12_m1
all_improvements_v12_m2_3600,3600,7,0,aggregate,aggregate_result_json,exact-label,3596.6967389,False,False,6,6,1223104599,6591290017,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00327041731624,results\bpc_core_repair_round\all_improvements_3600_v12_m2
baseline_moderate_seed3301_1200,1200,2,0,aggregate,aggregate_result_json,exact-label,1174.4064473,False,False,0,0,676710554,501623266,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.00469307183545,results\bpc_core_repair_round\baseline_1200_moderate_seed3301
baseline_v12_m1_1200,1200,12,0,aggregate,aggregate_result_json,exact-label,1199.3734423,False,False,0,0,347540508,2886964890,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00470697892369,results\bpc_core_repair_round\baseline_1200_v12_m1
baseline_v12_m2_1200,1200,7,0,aggregate,aggregate_result_json,exact-label,1197.3973203,False,False,4,4,428435650,2269816485,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00578921576109,results\bpc_core_repair_round\baseline_1200_v12_m2
baseline_300_high_imbalance_seed3202,300,9,0,aggregate,aggregate_result_json,exact-label,291.0975292,False,False,0,0,225792013,0,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.0700591864494,results\bpc_core_repair_round\baseline_300_high_imbalance_seed3202
baseline_300_moderate_seed3301,300,2,0,aggregate,aggregate_result_json,exact-label,273.3004118,False,False,0,0,173945096,107390663,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.00469307183545,results\bpc_core_repair_round\baseline_300_moderate_seed3301
baseline_300_v12_m1,300,12,0,aggregate,aggregate_result_json,exact-label,299.3970496,False,False,0,0,87442803,0,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00470697892369,results\bpc_core_repair_round\baseline_300_v12_m1
baseline_300_v12_m2,300,7,0,aggregate,aggregate_result_json,exact-label,298.2860543,False,False,2,2,104009341,618664440,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,-0.00752183449778,results\bpc_core_repair_round\baseline_300_v12_m2
baseline_300_v12_m2_forced,300,7,0,aggregate,aggregate_result_json,exact-label,298.719194,False,False,0,0,108817682,1149989833,negative_columns_remaining,safe-plus,True,all,route-skeleton-load-dp,standard,True,True,True,True,0.0103294366883,results\bpc_core_repair_round\baseline_300_v12_m2_forced
