stage,instance,left_arm,right_arm,left_status,right_status,left_strict,right_strict,left_final_lb,right_final_lb,left_common_gap,right_common_gap,left_wall_seconds,right_wall_seconds
stage1a,moderate4301,T-GRB-EXT-COLD,T-GRB-EXT-WARM,external_gini_tree_time_limit,external_gini_tree_time_limit,False,False,0.006664657272597397,0.0066700325689466695,0.6542878103667429,0.6540089805042569,112.6405207,112.6355617
stage1b,V12_M2,T-GRB-EXT-COLD,T-GRB-EXT-WARM,external_gini_tree_time_limit,external_gini_tree_time_limit,False,False,0.6860464830705811,0.6860464830705811,0.04517383965589066,0.04517383965589066,112.7967421,112.8008191
stage2,V12_M1,T-GRB-EXT-COLD,T-GRB-EXT-WARM,optimal,optimal,True,True,0.3572005832084155,0.3572005832084155,0.0,0.0,35.227844,31.4457351
stage2,V12_M2,T-GRB-EXT-COLD,T-GRB-EXT-WARM,optimal,optimal,True,True,0.7185040707549712,0.7185040707549709,0.0,0.0,196.0109699,173.3826877
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,T-GRB-EXT-WARM,external_gini_tree_time_limit,external_gini_tree_time_limit,False,False,1.6974666494292714,1.6990882299415224,0.029638371877026885,0.02871139077461203,288.579096,288.581721
stage2,tight_T_seed3101,T-GRB-EXT-COLD,T-GRB-EXT-WARM,external_gini_tree_time_limit,external_gini_tree_time_limit,False,False,0.05281934497726443,0.052886026602309115,0.5075244896666079,0.5069027654226236,288.6980015,288.6960947
