case,cplex_sha256,gurobi_sha256,byte_identical,gurobi_native_import,native_fingerprint
toy,f7e822f63057411d869b6cdf1e46437261bc9c2b3ab499cc17c6e2d850c31d11,f7e822f63057411d869b6cdf1e46437261bc9c2b3ab499cc17c6e2d850c31d11,True,True,1305815249
v12_m1,4f3aa09e4192077446237e9b41fa4a09dd6c2fed7b09e90be5656e978d7522fe,4f3aa09e4192077446237e9b41fa4a09dd6c2fed7b09e90be5656e978d7522fe,True,True,1133953353
