stage,instance,arm,common_ub,points,gap_auc,bound_progress_auc,status
stage1a,moderate4301,P-GRB,0.019278051143257303,804,0.7275185496600625,0.27248145033993754,available
stage1a,moderate4301,S0-SAFE,0.019278051143257303,438,0.7493509351157877,0.25064906488421235,available
stage1a,moderate4301,T-CPX-EXT-PON,0.019278051143257303,3,0.6928126546633347,0.30718734533666525,available
stage1a,moderate4301,T-CPX-ST-PON-DIAG,0.019278051143257303,8,0.8186364510964046,0.1813635489035954,diagnostic_non_authoritative
stage1a,moderate4301,T-GRB-EXT-COLD,0.019278051143257303,3,0.6769566883976353,0.32304331160236466,available
stage1a,moderate4301,T-GRB-EXT-WARM,0.019278051143257303,3,0.6768221776560125,0.3231778223439875,available
stage1b,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,7,0.14798529712269282,0.8520147028773072,available
stage1b,V12_M2,T-GRB-EXT-FRESH-COLD,0.7185040707549709,7,0.17102041313798574,0.8289795868620142,available
stage1b,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,7,0.14798610279679675,0.8520138972032032,available
stage1c,V12_M1,S0-SAFE,0.3572005832084155,6886,0.04121187328621576,0.9587881267137842,available
stage1c,V12_M1,T-CPX-EXT-POFF,0.3572005832084155,5,0.07108395447777735,0.9289160455222226,available
stage1c,V12_M1,T-CPX-EXT-PON,0.3572005832084155,5,0.07123726263567319,0.9287627373643268,available
stage1c,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,6942,0.04197878269455041,0.9580212173054496,diagnostic_non_authoritative
stage1c,V12_M2,S0-SAFE,0.7185040707549709,5835,0.054699724011397804,0.9453002759886022,available
stage1c,V12_M2,T-CPX-EXT-POFF,0.7185040707549709,9,0.10957833734854502,0.890421662651455,available
stage1c,V12_M2,T-CPX-EXT-PON,0.7185040707549709,9,0.10951380382796949,0.8904861961720305,available
stage1c,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,6675,0.05012073335317966,0.9498792666468203,diagnostic_non_authoritative
stage2,high_imbalance_seed3202,P-CPX,1.7493134520506337,1165,0.4136968966065366,0.5863031033934634,available
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,2162,0.39501710858740047,0.6049828914125995,available
stage2,high_imbalance_seed3202,S0-SAFE,1.7493134520506337,2946,0.046431126570498214,0.9535688734295018,available
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,1.7493134520506337,13,0.09972527581359257,0.9002747241864074,available
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,1.7493134520506337,2023,0.0488533852590542,0.9511466147409458,diagnostic_non_authoritative
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,1.7493134520506337,13,0.0992803634655583,0.9007196365344416,available
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,1.7493134520506337,13,0.0983295379762666,0.9016704620237334,available
stage2,tight_T_seed3101,P-CPX,0.10725273413394144,1700,0.8909182000464798,0.10908179995352019,available
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,1685,0.8342162263483438,0.1657837736516562,available
stage2,tight_T_seed3101,S0-SAFE,0.10725273413394144,1557,0.6613960570926737,0.3386039429073263,available
stage2,tight_T_seed3101,T-CPX-EXT-PON,0.10725273413394144,11,0.5806447262542709,0.4193552737457291,available
stage2,tight_T_seed3101,T-CPX-ST-PON-DIAG,0.10725273413394144,887,0.6489355579907571,0.3510644420092429,diagnostic_non_authoritative
stage2,tight_T_seed3101,T-GRB-EXT-COLD,0.10725273413394144,10,0.5230744032713212,0.47692559672867885,available
stage2,tight_T_seed3101,T-GRB-EXT-WARM,0.10725273413394144,10,0.5225828490035695,0.47741715099643045,available
stage2,V12_M1,P-CPX,0.3572005832084155,102802,0.06157592133153288,0.9384240786684671,available
stage2,V12_M1,P-GRB,0.3572005832084155,4322,0.008719688509926975,0.991280311490073,available
stage2,V12_M1,S0-SAFE,0.3572005832084155,11065,0.026062817893736035,0.973937182106264,available
stage2,V12_M1,T-CPX-EXT-PON,0.3572005832084155,5,0.04271902406528084,0.9572809759347192,available
stage2,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,9835,0.026072117782869605,0.9739278822171304,diagnostic_non_authoritative
stage2,V12_M1,T-GRB-EXT-COLD,0.3572005832084155,4,0.029223786041666665,0.9707762139583334,available
stage2,V12_M1,T-GRB-EXT-WARM,0.3572005832084155,4,0.024063891375,0.975936108625,available
stage2,V12_M2,P-CPX,0.7185040707549709,21019,0.22856078682406406,0.771439213175936,available
stage2,V12_M2,P-GRB,0.7185040707549709,15775,0.025752533022683047,0.9742474669773169,available
stage2,V12_M2,S0-SAFE,0.7185040707549709,9776,0.04018289737708238,0.9598171026229176,available
stage2,V12_M2,T-CPX-EXT-PON,0.7185040707549709,12,0.06850441244748393,0.931495587552516,available
stage2,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,10044,0.03593464549748452,0.9640653545025155,diagnostic_non_authoritative
stage2,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,9,0.06444008059583796,0.935559919404162,available
stage2,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,9,0.0625776508396088,0.9374223491603912,available
