case,import_succeeded,status,rows,columns,nonzeros,binary,integer,continuous,objective_sense,fingerprint,names_match,types_match,bounds_match,domain_audit,verified_feasible,objective,strict_certificate
toy_p_grb,True,OPTIMAL,77,44,217,18,8,18,1,1305815249,True,True,True,True,True,0,True
v12_m1_p_grb,True,TIME_LIMIT,992,489,3867,253,48,188,1,1133953353,True,True,True,True,True,0.3572005832084155,False
