stage,instance,arm,common_ub,gap_threshold,first_time_seconds,reached
stage1a,moderate4301,P-GRB,0.019278051143257303,0.1,,False
stage1a,moderate4301,P-GRB,0.019278051143257303,0.05,,False
stage1a,moderate4301,P-GRB,0.019278051143257303,0.01,,False
stage1a,moderate4301,P-GRB,0.019278051143257303,0.001,,False
stage1a,moderate4301,S0-SAFE,0.019278051143257303,0.1,,False
stage1a,moderate4301,S0-SAFE,0.019278051143257303,0.05,,False
stage1a,moderate4301,S0-SAFE,0.019278051143257303,0.01,,False
stage1a,moderate4301,S0-SAFE,0.019278051143257303,0.001,,False
stage1a,moderate4301,T-CPX-EXT-PON,0.019278051143257303,0.1,,False
stage1a,moderate4301,T-CPX-EXT-PON,0.019278051143257303,0.05,,False
stage1a,moderate4301,T-CPX-EXT-PON,0.019278051143257303,0.01,,False
stage1a,moderate4301,T-CPX-EXT-PON,0.019278051143257303,0.001,,False
stage1a,moderate4301,T-CPX-ST-PON-DIAG,0.019278051143257303,0.1,,False
stage1a,moderate4301,T-CPX-ST-PON-DIAG,0.019278051143257303,0.05,,False
stage1a,moderate4301,T-CPX-ST-PON-DIAG,0.019278051143257303,0.01,,False
stage1a,moderate4301,T-CPX-ST-PON-DIAG,0.019278051143257303,0.001,,False
stage1a,moderate4301,T-GRB-EXT-COLD,0.019278051143257303,0.1,,False
stage1a,moderate4301,T-GRB-EXT-COLD,0.019278051143257303,0.05,,False
stage1a,moderate4301,T-GRB-EXT-COLD,0.019278051143257303,0.01,,False
stage1a,moderate4301,T-GRB-EXT-COLD,0.019278051143257303,0.001,,False
stage1a,moderate4301,T-GRB-EXT-WARM,0.019278051143257303,0.1,,False
stage1a,moderate4301,T-GRB-EXT-WARM,0.019278051143257303,0.05,,False
stage1a,moderate4301,T-GRB-EXT-WARM,0.019278051143257303,0.01,,False
stage1a,moderate4301,T-GRB-EXT-WARM,0.019278051143257303,0.001,,False
stage1b,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.1,31.9000924,True
stage1b,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.05,91.923569,True
stage1b,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.01,,False
stage1b,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.001,,False
stage1b,V12_M2,T-GRB-EXT-FRESH-COLD,0.7185040707549709,0.1,31.9137013,True
stage1b,V12_M2,T-GRB-EXT-FRESH-COLD,0.7185040707549709,0.05,,False
stage1b,V12_M2,T-GRB-EXT-FRESH-COLD,0.7185040707549709,0.01,,False
stage1b,V12_M2,T-GRB-EXT-FRESH-COLD,0.7185040707549709,0.001,,False
stage1b,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.1,31.9136766,True
stage1b,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.05,91.9328342,True
stage1b,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.01,,False
stage1b,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.001,,False
stage1c,V12_M1,S0-SAFE,0.3572005832084155,0.1,10.7841745,True
stage1c,V12_M1,S0-SAFE,0.3572005832084155,0.05,49.6796711,True
stage1c,V12_M1,S0-SAFE,0.3572005832084155,0.01,,False
stage1c,V12_M1,S0-SAFE,0.3572005832084155,0.001,,False
stage1c,V12_M1,T-CPX-EXT-POFF,0.3572005832084155,0.1,31.3589631,True
stage1c,V12_M1,T-CPX-EXT-POFF,0.3572005832084155,0.05,31.3589631,True
stage1c,V12_M1,T-CPX-EXT-POFF,0.3572005832084155,0.01,77.398236,True
stage1c,V12_M1,T-CPX-EXT-POFF,0.3572005832084155,0.001,77.398236,True
stage1c,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.1,31.3991394,True
stage1c,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.05,31.3991394,True
stage1c,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.01,77.7970488,True
stage1c,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.001,77.7970488,True
stage1c,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.1,12.3353338,True
stage1c,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.05,47.6952529,True
stage1c,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.01,,False
stage1c,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.001,,False
stage1c,V12_M2,S0-SAFE,0.7185040707549709,0.1,5.163623,True
stage1c,V12_M2,S0-SAFE,0.7185040707549709,0.05,56.2133168,True
stage1c,V12_M2,S0-SAFE,0.7185040707549709,0.01,,False
stage1c,V12_M2,S0-SAFE,0.7185040707549709,0.001,,False
stage1c,V12_M2,T-CPX-EXT-POFF,0.7185040707549709,0.1,32.3938466,True
stage1c,V12_M2,T-CPX-EXT-POFF,0.7185040707549709,0.05,127.536352,True
