stage,instance,arm,budget_seconds,return_code,status,strict_certificate,strict_certificate_class,strict_rejection,unsafe_diagnostic,authoritative,verified_witness,verified_ub,final_lb,common_ub,common_ub_gap,process_wall_seconds,nodes,work,simplex_iterations,memory_gb,optimize_count,native_model_count,native_model_read_count,artifact_generation_count,artifact_cache_hit_count,artifact_invalidation_count,same_leaf_resume_count,child_restart_count,presolve_execution_count,root_execution_count,confirmed_continuation_count,partial_reuse_count,observed_fresh_restart_count,ambiguous_retained_count,warm_start_submitted_count,warm_start_accepted_count,warm_start_rejected_count,warm_start_unknown_count,split_count,closed_leaf_count,feasibility_consistency,result_path
stage2,high_imbalance_seed3202,P-CPX,300,0,time_limit,False,time_limit_valid_bound,none,False,True,True,1.8359992054082304,1.0471107004081424,1.7493134520506337,0.4014161960621373,294.1922602,25078,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__p_cpx__300s\result.json
stage2,high_imbalance_seed3202,P-GRB,300,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,True,True,1.7630423841732887,1.074658780762213,1.7493134520506337,0.385668257737089,294.0787067,8498,583.0362447814416,1835397,0.083790788,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__p_grb__300s\result.json
stage2,high_imbalance_seed3202,S0-SAFE,300,0,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,True,True,1.7493134520506337,1.6809116675279847,1.7493134520506337,0.03910207426945981,294.2295593,3417,0,1156698,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__s0_safe__300s\result.json
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,300,0,external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,True,True,1.7493134520506337,1.7071873441213097,1.7493134520506337,0.02408150916574824,288.7420733,6520,0,0,0,11,11,11,8,3,0,0,8,0,0,0,0,0,0,0,0,0,0,2,4,True,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__t_cpx_ext_pon__300s\result.json
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,300,0,global_gini_tree_not_certified,False,known_unsafe_presolve_on_diagnostic,unsafe_continuous_branch_presolve_override_forces_rejection,True,False,True,1.7493134520506337,,1.7493134520506337,,294.1988799,2327,0,806518,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__t_cpx_st_pon_diag__300s\result.json
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,300,0,external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,True,True,1.7493134520506337,1.6974666494292714,1.7493134520506337,0.029638371877026885,288.579096,3398,532.165199802831,1520668,0.316265598,11,8,8,8,3,0,3,8,11,8,0,0,3,0,0,0,0,0,2,4,True,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__t_grb_ext_cold__300s\result.json
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,300,0,external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,True,True,1.7493134520506337,1.6990882299415224,1.7493134520506337,0.02871139077461203,288.581721,3412,535.0463411622368,1524451,0.321016538,11,8,8,8,3,0,3,8,11,8,0,0,3,0,3,0,8,0,2,4,True,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__high_imbalance_seed3202__t_grb_ext_warm__300s\result.json
stage2,tight_T_seed3101,P-CPX,300,0,time_limit,False,time_limit_valid_bound,none,False,True,True,0.1484083278847531,0.012870861278114078,0.10725273413394144,0.8799950287324103,294.0898041,82365,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__tight_T_seed3101__p_cpx__300s\result.json
stage2,tight_T_seed3101,P-GRB,300,0,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,True,True,0.11608225228456553,0.01937849707503963,0.10725273413394144,0.8193193186959785,294.0805834,10287,543.3024272305463,1357658,0.128933668,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__tight_T_seed3101__p_grb__300s\result.json
stage2,tight_T_seed3101,S0-SAFE,300,0,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,True,True,0.10725273413394144,0.03964299656352853,0.10725273413394144,0.6303777532233277,294.1976462,2247,0,1098508,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,E:\codes\ExactEBRP\results\gf_solver_backend_migration_round24r\runs\stage2__tight_T_seed3101__s0_safe__300s\result.json
