run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
stage1__moderate_seed3302__parent_delta__300s,1,0,branch_bounds_only,exact-incremental-delta,1421,42,1422,42,250,41,0,0,1,0.014485400000000001,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,bd2fefa786f80746,passed,
stage1__moderate_seed3302__parent_delta__300s,2,0,branch_bounds_only,exact-incremental-delta,1421,42,1422,42,2,35,0,0,7,0.0132082,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick|variable_s_low_gini_centering,c4450b584c966313,passed,
stage1__moderate_seed3302__parent_delta__300s,1,0,deferred_first_relaxation_attach,exact-incremental-delta,1421,42,1422,42,250,42,0,1171,0,0.0140079,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,bd2fefa786f80746,passed,
stage1__moderate_seed3302__parent_delta__300s,3,1,branch_bounds_only,exact-incremental-delta,1421,42,2593,42,250,41,0,0,1,0.0139904,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,d0211e3afbe05eef,passed,
stage1__moderate_seed3302__parent_delta__300s,4,1,branch_bounds_only,exact-incremental-delta,1421,42,2593,42,793,38,0,0,4,0.014201800000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,5f0c1720487d2ab4,passed,
stage1__moderate_seed3302__parent_delta__300s,3,1,deferred_first_relaxation_attach,exact-incremental-delta,1421,42,2593,42,250,42,0,1171,0,0.014025299999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,d0211e3afbe05eef,passed,
stage1__moderate_seed3302__parent_delta__300s,5,3,branch_bounds_only,exact-incremental-delta,1421,42,3764,42,250,41,0,0,1,0.0139968,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,5b2df6ac159621b8,passed,
stage1__moderate_seed3302__parent_delta__300s,6,3,branch_bounds_only,exact-incremental-delta,1421,42,3764,42,794,39,0,0,3,0.0139924,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,9b575d45eb17646f,passed,
stage1__moderate_seed3302__parent_delta__300s,4,1,deferred_first_relaxation_attach,exact-incremental-delta,1421,42,2593,42,793,42,0,628,0,0.0142249,direct_gini_floor|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick,5f0c1720487d2ab4,passed,
stage1__moderate_seed3302__parent_delta__300s,7,4,branch_bounds_only,exact-incremental-delta,1421,42,3221,42,250,41,0,0,1,0.0142886,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,2878619e55bcfcc2,passed,
stage1__moderate_seed3302__parent_delta__300s,8,4,branch_bounds_only,exact-incremental-delta,1421,42,3221,42,794,39,0,0,3,0.0142215,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,846d8a4f2cb20e75,passed,
