source_round,reported_arm,run,instance,family,leaf_id,attempt_ordinal,inherited_lower_bound,leaf_lower_bound_after,global_lower_bound_before,global_lower_bound_after,selected_while_controlling,selected_again_same_leaf,open_competing_leaves_before,solver_runtime_seconds_telemetry,work_telemetry
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L0,1,0.0,1e+100,0.0,0.2375,True,False,3,0.2480001449584961,0.4370627418851771
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L1,1,0.2375,1e+100,0.2375,0.475,True,False,2,0.5759999752044678,1.2792580390500146
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,1,0.475,1.6812463198987921,0.475,0.7124999999999999,True,True,1,30.000999927520752,61.67085621144156
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,2,1.6812463198987921,1.6867124602743413,1.6812463198987921,1.6867124602743413,True,False,0,60.009000062942505,112.98346233923394
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L3,1,0.7124999999999999,1e+100,0.7124999999999999,1.6812463198987921,True,False,1,0.3489999771118164,0.6379571752171495
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,1,1.6867124602743413,1.6926626065569321,1.6867124602743413,1.6867124602743413,True,True,1,30.007000207901,61.46761320330952
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,2,1.6926626065569321,1.6990882299415224,1.6926626065569321,1.6990882299415224,True,False,0,60.003000020980835,116.0669531451252
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.1,1,1.6867124602743413,1e+100,1.6867124602743413,1.6926626065569321,True,False,1,2.1599998474121094,4.246378541160249
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,1,1.6990882299415224,1.6990882299415224,1.6990882299415224,1.6990882299415224,True,True,1,30.002000093460083,64.87165303250254
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,2,1.6990882299415224,1.7009163584825047,1.6990882299415224,1.7009163584825047,True,False,1,60.00100016593933,110.4104634176136
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.1,1,1.6990882299415224,1.7335200525939403,1.6990882299415224,1.6990882299415224,True,True,1,30.000999927520752,63.13617864592131
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.1,2,1.7335200525939403,1.7493134520506337,1.7335200525939403,1.7493134520506337,True,False,0,8.578999996185303,18.070746417053158
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.0,1,1.7009163584825047,1e+100,1.7009163584825047,1.7009163584825047,True,False,2,4.953999996185303,10.18923151650587
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.1,1,1.7009163584825047,1.7009163584825047,1.7009163584825047,1.7009163584825047,True,True,1,30.009000062942505,66.56073422784925
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.1,2,1.7009163584825047,1e+100,1.7009163584825047,1.7335200525939403,True,False,1,36.075000047683716,76.6199911501779
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L0,1,0.0,0.15561476199603727,0.0,0.04890905163725309,True,True,3,30.004000186920166,54.90347274226141
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L0,2,0.15561476199603727,0.15986358119059038,0.15561476199603727,0.15949765678682276,True,False,2,60.007999897003174,104.03621293339174
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,1,0.04890905163725309,0.15949765678682276,0.04890905163725309,0.09781810327450619,True,True,3,30.0,62.39150940912203
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,2,0.15949765678682276,0.15964157620068223,0.15949765678682276,0.15964157620068223,True,False,2,60.001999855041504,106.1276242541079
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L2,1,0.09781810327450619,0.1852600572046464,0.09781810327450619,0.14672715491175928,True,False,3,30.002000093460083,62.35570618059697
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L3,1,0.14672715491175928,1e+100,0.14672715491175928,0.15561476199603727,True,False,3,0.56600022315979,1.2421528338301768
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0,1,0.15964157620068223,0.15964157620068223,0.15964157620068223,0.15964157620068223,True,True,3,30.003999948501587,54.40873010965887
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0,2,0.15964157620068223,0.15965636104587766,0.15964157620068223,0.15965636104587766,True,False,3,60.009000062942505,111.3761660490915
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.1,1,0.15964157620068223,0.17053621885537357,0.15964157620068223,0.15964157620068223,True,False,3,30.003999948501587,55.225352267002975
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0.0,1,0.15965636104587766,0.15993169568947416,0.15965636104587766,0.15965636104587766,True,True,4,30.003000020980835,53.40735921488797
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0.0,2,0.15993169568947416,0.16089150760714427,0.15993169568947416,0.16089150760714427,True,False,4,60.00699996948242,108.43256523834067
round26,C0-LEGACY,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0.1,1,0.15965636104587766,0.16371500310734735,0.15965636104587766,0.15986358119059038,True,False,4,30.004000186920166,55.77721949638613
