original_path,compressed_path,original_bytes,compressed_bytes,original_sha256,compressed_sha256,restoration_sha256,restoration_bytes,compression
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L0.lp.gz,1307791,239281,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,9868f4bbc9fb00195317ae57c920cb939fcb8b8717dd0715401be9b1c0dd6f6c,e97bb5593c5c8d3b73d88829f9797ecbcca8e92d13ff7cdeb4d6260550712259,1307791,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.0.lp.gz,1466881,240584,da61436027ec79f9a56554bac21451c0b532ad87dde4d0c1df547ff6f7ad0a41,ad0be7a6fdd9bf8346b635ce7b449bdb201abd997e2c63027c5f6321544ec755,da61436027ec79f9a56554bac21451c0b532ad87dde4d0c1df547ff6f7ad0a41,1466881,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.1.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.1.lp.gz,1305359,239616,fdbadb6499a2afadac621f1567be0bd40bfff6cb767fd5391ef049675791ec58,08702b31522bad69be7654edbba219cb3a398fca5d8cc8e0bccf6479aa655524,fdbadb6499a2afadac621f1567be0bd40bfff6cb767fd5391ef049675791ec58,1305359,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L1.lp.gz,1305081,239612,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,3dd5f735b8e6bd4baeb3e501a28d6f7ba3c975c19fe9e2e9f190aa809aeb7548,3b46039f3b4baba20ae33022cfae5042e961dee006b0bcf6ea3c6d1b51d70f6f,1305081,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.0.lp.gz,1362166,239971,d1b6d68fcd9c068dec97cb31f1fee9db47d24da2d644030549c3696f75f98e05,d78e887638decb50a70390b0b1aadbe3c404f00cf24f83474f7163e7d745efb2,d1b6d68fcd9c068dec97cb31f1fee9db47d24da2d644030549c3696f75f98e05,1362166,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.0.lp.gz,1385103,239998,60c24ec1cf39236b8819deaa2124fd9cda27ed49521a2f45306e32827777dbe7,2e1f0e6e396ad9b6a453c7789d0d888143dd85ba6817a7d019757ac2704a3c71,60c24ec1cf39236b8819deaa2124fd9cda27ed49521a2f45306e32827777dbe7,1385103,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.0.lp.gz,1396565,239999,f2db6938e29f18030ac05aa1d52e354aae2cba5a0e125189f55bdd06be274eb2,76b5c91490edccfd4dae218820402bb4f478708798010f4dd276bb9271e66749,f2db6938e29f18030ac05aa1d52e354aae2cba5a0e125189f55bdd06be274eb2,1396565,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.0.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.0.lp.gz,1474242,240832,fa137e442c840b5f7e9010db9913a513bbdfdb6027cc1b6d7141fb4f47f23225,26e086428d554e82a3f68628c80fe1281e1eb444bdf52ba0d67e3f84a7fa44b9,fa137e442c840b5f7e9010db9913a513bbdfdb6027cc1b6d7141fb4f47f23225,1474242,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.1.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.1.lp.gz,1473246,240645,a4ec424f0ea722ae1fed7c565e7eb45b9916e556c3cac785f376d9fd7fa52cad,1b3c3f81c4e70aa41e99d0e44eccd5930af3c57692d785ce1e0b3d3be16f1bbe,a4ec424f0ea722ae1fed7c565e7eb45b9916e556c3cac785f376d9fd7fa52cad,1473246,gzip_level9_mtime0_filename_omitted
results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.lp,results/gf_c0_mechanism_transfer_c5_round30/development/high_imbalance_seed3202__c4_candidate__60s/external/models/L2.0.0.0.1.0.1.1.lp.gz,1473102,240639,d15155c6db1d679c08ce67a9acc4c1cce2815ee17ed483883dc7c93522fbec64,326d62a654aa582cc5cbda11e198f93c24f4d33700113ec4e3e99142bc7c4ae8,d15155c6db1d679c08ce67a9acc4c1cce2815ee17ed483883dc7c93522fbec64,1473102,gzip_level9_mtime0_filename_omitted
