run_id,instance,strict_certificate,all_relevant_leaves_closed,false_certificate,passed
stage1__V12_M1__c5_candidate__300s,V12_M1,True,True,False,True
stage1__V12_M2__c5_candidate__300s,V12_M2,True,True,False,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,True,True,False,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,False,False,False,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,False,False,False,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,False,False,False,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,False,False,False,True
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,False,False,False,True
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,False,False,False,True
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,False,False,False,True
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,False,False,False,True
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,True,True,False,True
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,False,False,False,True
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,False,False,False,True
stage2__tight_T_seed5103__c5_candidate__300s,tight_T_seed5103,False,False,False,True
stage2__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,False,False,False,True
stage2__tight_T_seed6102__c5_candidate__300s,tight_T_seed6102,False,False,False,True
stage4__V12_M2__c5_candidate__rep1__300s,V12_M2,True,True,False,True
stage4__V12_M2__c5_candidate__rep2__300s,V12_M2,True,True,False,True
stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,high_imbalance_seed3202,True,True,False,True
stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,high_imbalance_seed3202,True,True,False,True
stage4__tight_T_seed3101__c5_candidate__rep1__300s,tight_T_seed3101,False,False,False,True
stage4__tight_T_seed3101__c5_candidate__rep2__300s,tight_T_seed3101,False,False,False,True
stage4__tight_T_seed5102__c5_candidate__rep1__300s,tight_T_seed5102,False,False,False,True
stage4__tight_T_seed5102__c5_candidate__rep2__300s,tight_T_seed5102,False,False,False,True
stage4__moderate_seed6301__c5_candidate__rep1__300s,moderate_seed6301,False,False,False,True
stage4__moderate_seed6301__c5_candidate__rep2__300s,moderate_seed6301,False,False,False,True
