source_round,reported_arm,algorithm_identity,run,instance,family,parent_id,depth,historical_completed_attempts,parent_inherited_bound,parent_bound_before_split,first_processing_gain,repeated_processing_gain,split_event_global_gain,first_child_min_native_bound,first_child_processing_gain_over_parent,child_rows_observed,split_materially_useful_from_observed_children,split_unnecessary_or_zero_immediate_gain,verified_upper_bound,parent_status,atomic_replacement_observed
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,0,2,0.475,1.6867124602743413,1.206246319898792,0.0054661403755491556,0.0,1.6812463198987921,0.0,3,False,True,1.7493134520506337,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,1,2,1.6867124602743413,1.6990882299415224,0.005950146282590829,0.0064256233845902955,0.0,1.6990882299415224,0.0,2,False,True,1.7493134520506337,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,2,2,1.6990882299415224,1.7009163584825047,0.0,0.0018281285409822434,0.0,1.7009163584825047,0.0,2,False,True,1.7493134520506337,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,0,2,0.04890905163725309,0.15964157620068223,0.11058860514956967,0.00014391941385946683,0.0,0.15949765678682276,0.0,3,False,True,0.19563620654901237,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0,1,2,0.15964157620068223,0.15965636104587766,0.0,1.4784845195431329e-05,0.0,0.15993169568947416,0.0002753346435964976,2,True,False,0.19563620654901237,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L0,0,2,0.0,0.15986358119059038,0.15561476199603727,0.004248819194553111,0.00036592440376762014,0.15561476199603727,0.0,3,False,True,0.19563620654901237,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1.0.0,2,2,0.15965636104587766,0.16089150760714427,0.0002753346435964976,0.0009598119176701114,0.0,0.16089150760714427,0.0,1,False,True,0.19563620654901237,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__tight_T_seed3101__c0__rep1__600s,tight_T_seed3101,tight_T,L1,0,2,0.02681318353348536,0.053385051017276905,0.025122839235169305,0.0014490282486222389,0.0,0.051936022768654666,0.0,3,False,True,0.10725273413394144,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__tight_T_seed3101__c0__rep1__600s,tight_T_seed3101,tight_T,L1.1,1,2,0.053385051017276905,0.053385051017276905,0.0,0.0,0.0,0.053385051017276905,0.0,2,False,True,0.10725273413394144,replaced,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__tight_T_seed3101__c0__rep1__600s,tight_T_seed3101,tight_T,L1.1.0,2,2,0.053385051017276905,0.053385051017276905,0.0,0.0,0.0,0.053385051017276905,0.0,2,False,True,0.10725273413394144,replaced,True
