run_id,instance,structural_exactness_gate,trace_complete,trace_reason,open_leaf_preserved_on_interruption,passed
stage1__V12_M1__c5_candidate__300s,V12_M1,True,True,complete_observed_trace,True,True
stage1__V12_M2__c5_candidate__300s,V12_M2,True,True,complete_observed_trace,True,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,True,True,complete_observed_trace,True,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,True,True,complete_observed_trace,True,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,True,True,complete_observed_trace,True,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,True,True,complete_observed_trace,True,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,True,True,complete_observed_trace,True,True
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,True,True,complete_observed_trace,True,True
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,True,True,complete_observed_trace,True,True
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,True,True,complete_observed_trace,True,True
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,True,True,complete_observed_trace,True,True
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,True,True,complete_observed_trace,True,True
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,True,True,complete_observed_trace,True,True
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,True,True,complete_observed_trace,True,True
stage2__tight_T_seed5103__c5_candidate__300s,tight_T_seed5103,True,True,complete_observed_trace,True,True
stage2__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,True,True,complete_observed_trace,True,True
stage2__tight_T_seed6102__c5_candidate__300s,tight_T_seed6102,True,True,complete_observed_trace,True,True
stage4__V12_M2__c5_candidate__rep1__300s,V12_M2,True,True,complete_observed_trace,True,True
stage4__V12_M2__c5_candidate__rep2__300s,V12_M2,True,True,complete_observed_trace,True,True
stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,high_imbalance_seed3202,True,True,complete_observed_trace,True,True
stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,high_imbalance_seed3202,True,True,complete_observed_trace,True,True
stage4__tight_T_seed3101__c5_candidate__rep1__300s,tight_T_seed3101,True,True,complete_observed_trace,True,True
stage4__tight_T_seed3101__c5_candidate__rep2__300s,tight_T_seed3101,True,True,complete_observed_trace,True,True
stage4__tight_T_seed5102__c5_candidate__rep1__300s,tight_T_seed5102,True,True,complete_observed_trace,True,True
stage4__tight_T_seed5102__c5_candidate__rep2__300s,tight_T_seed5102,True,True,complete_observed_trace,True,True
stage4__moderate_seed6301__c5_candidate__rep1__300s,moderate_seed6301,True,True,complete_observed_trace,True,True
stage4__moderate_seed6301__c5_candidate__rep2__300s,moderate_seed6301,True,True,complete_observed_trace,True,True
