source_round,run,instance,family,parent_id,shadow_rule,dimensionless_threshold,first_native_gain_ratio,repeated_native_gain_ratio,target_reached_after_first_processing,target_reached_only_after_repeated_processing,historical_split_explainable_without_time_or_attempts,coverage_preserved_if_parent_retained_or_atomic_split,counterfactual_runtime_claimed
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,normalized_native_gain_1pct,0.01,0.9465852518135883,0.00428947867320478,True,False,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,normalized_native_gain_5pct,0.05,0.9465852518135883,0.00428947867320478,True,False,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,normalized_native_gain_10pct,0.1,0.9465852518135883,0.00428947867320478,True,False,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,normalized_native_gain_1pct,0.01,0.0950487542410503,0.10264411476981966,True,False,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,normalized_native_gain_5pct,0.05,0.0950487542410503,0.10264411476981966,True,False,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,normalized_native_gain_10pct,0.1,0.0950487542410503,0.10264411476981966,False,True,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,normalized_native_gain_1pct,0.01,0.0,0.0363986153612371,False,True,True,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,normalized_native_gain_5pct,0.05,0.0,0.0363986153612371,False,False,False,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,normalized_native_gain_10pct,0.1,0.0,0.0363986153612371,False,False,False,True,False
round26,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,normalized_native_gain_1pct,0.01,0.7537023751062093,0.000980864202989685,True,False,True,True,False
