suite,instance,arm,trace_complete,trace_reason,valid_bound_observation_count,first_process_seconds,last_process_seconds,auc_eligible,no_interpolation,no_post_last_event_extension
trace,moderate_seed4301,C0-DIAG,True,complete_observed_trace,28,19.2612364,35.1470961,True,True,True
trace,moderate_seed4301,C3-REPLICA,True,compatible_existing_c3_trace,32,35.0746885,39.913265800000005,True,True,True
trace,moderate_seed4301,C4-CANDIDATE,True,complete_observed_trace,108,19.5194661,40.0156511,True,True,True
trace,moderate_seed4301,C5-CANDIDATE,True,complete_observed_trace,23,19.5817111,40.0181636,True,True,True
sentinel,moderate_seed4301,P-GRB,True,complete_native_callback_trace,804,0.15099262070922853,115.23799275231629,True,True,True
sentinel,moderate_seed4301,C5-CANDIDATE,True,complete_observed_trace,31,19.9420512,115.0248699,True,True,True
