run_id,instance,arm,common_gap_threshold,reached,first_observed_process_seconds,no_interpolation
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.9,True,6.2407893,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.75,True,6.2407893,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.5,True,6.408603,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.25,True,6.8972282,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.1,True,116.7834885,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.05,True,121.7042481256134,True
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,0.01,True,132.91024821525878,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.9,True,6.2513806,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.75,True,6.2513806,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.5,True,6.4151134,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.25,True,6.9097301,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.1,True,22.455050373568724,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.05,True,52.6885642,True
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,0.01,True,52.6885642,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.9,True,7.0886599,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.75,True,7.0886599,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.5,True,7.3845238,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.25,True,7.6542445,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.1,True,17.4371199,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.05,False,,True
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,0.01,False,,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.9,True,7.0739851,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.75,True,7.0739851,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.5,True,7.3721395,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.25,True,7.6386664,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.1,True,17.4409816,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.05,True,169.15391266484986,True
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,0.01,True,227.28791272779236,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.9,True,15.832021714169311,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.75,True,16.227380965667724,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.5,True,47.15106615994568,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.25,True,47.2719227,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.1,True,47.2719227,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.05,True,47.2719227,True
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,0.01,False,,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.9,True,16.438595,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.75,True,16.8424741,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.5,True,18.9079911,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.25,True,18.9079911,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.1,True,18.9079911,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.05,False,,True
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,0.01,False,,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.9,True,16.514444,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.75,True,16.9201765,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.5,True,19.4201934,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.25,True,19.4201934,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.1,True,19.4201934,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.05,True,22.069092203814698,True
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,0.01,True,207.13422459918212,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.9,True,20.845057606811523,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.75,True,20.845057606811523,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.5,True,50.8330147,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.25,True,80.96153739809264,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.1,False,,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.05,False,,True
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,0.01,False,,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.9,True,20.6458329,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.75,True,20.6458329,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.5,True,22.1370165,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.25,False,,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.1,False,,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.05,False,,True
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,0.01,False,,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.9,True,20.6765057,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.75,True,20.6765057,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.5,True,22.1719658,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.25,False,,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.1,False,,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.05,False,,True
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,0.01,False,,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.9,True,15.770698610354614,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.75,True,16.5786207,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.5,False,,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.25,False,,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.1,False,,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.05,False,,True
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,0.01,False,,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.9,True,28.4351304,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.75,True,30.7928135,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.5,True,169.77071702098084,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.25,False,,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.1,False,,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.05,False,,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,0.01,False,,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.9,True,18.1579061,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.75,True,20.5557459,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.5,True,160.02395298664857,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.25,False,,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.1,False,,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.05,False,,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,0.01,False,,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.9,True,18.1140569,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.75,True,18.1140569,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.5,True,18.71109614005432,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.25,True,48.746204698092654,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.1,False,,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.05,False,,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,0.01,False,,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.9,True,18.1382349,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.75,True,18.1382349,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.5,True,18.5273337,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.25,False,,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.1,False,,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.05,False,,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,0.01,False,,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.9,True,17.6984939,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.75,True,17.6984939,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.5,True,18.0844388,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.25,False,,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.1,False,,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.05,False,,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,0.01,False,,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.9,True,171.17998840463258,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.75,True,241.4386547,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.5,True,250.71694938964538,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.25,True,280.280773956131,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.1,False,,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.05,False,,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,0.01,False,,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.9,True,84.7632365,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.75,True,84.7632365,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.5,True,90.3606486,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.25,True,130.5539452,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.1,False,,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.05,False,,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,0.01,False,,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.9,True,84.1709583,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.75,True,84.1709583,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.5,True,89.0820527,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.25,True,129.4319737,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.1,False,,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.05,False,,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,0.01,False,,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.9,True,0.05004892288818359,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.75,True,0.05004892288818359,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.5,True,0.05004892288818359,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.25,True,0.6630490773834229,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.1,True,8.721048926702881,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.05,True,20.8750489705719,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0.01,True,33.21204910217895,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.9,True,0.07136741035461426,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.75,True,0.07136741035461426,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.5,True,0.16536751144409179,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.25,True,6.45536747329712,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.1,True,10.738367465667725,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.05,True,39.89036741607666,True
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0.01,True,152.63336744659424,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.9,True,0.1941402564025879,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.75,True,0.1941402564025879,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.5,True,0.38714009618530276,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.25,False,,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.1,False,,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.05,False,,True
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0.01,False,,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.9,True,0.21901238583068847,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.75,True,0.21901238583068847,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.5,True,0.562012320980835,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.25,False,,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.1,False,,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.05,False,,True
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0.01,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.9,True,0.8482954553131103,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.75,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.5,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.25,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.1,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.05,False,,True
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0.01,False,,True
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0.9,True,0.20229650844726563,True
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0.75,True,0.20229650844726563,True
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0.5,True,0.20229650844726563,True
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0.25,False,,True
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0.1,False,,True
