stage,instance,family,V,arm,repetition,common_ub,valid_final_lb,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,auc_status,correction_reason
stage1,high_imbalance_seed3202,high_imbalance,20,C3-REPLICA,0,1.7493134520506337,1.609967450778375,0.07965753713773269,0.8159744851189976,0.18402551488100236,130,observed_historical_trace,compatible_observations_retained
stage1,high_imbalance_seed3202,high_imbalance,20,C4-CANDIDATE,0,1.7493134520506337,1.610843602757366,0.07915668237213079,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage1,moderate_seed3302,moderate,20,C3-REPLICA,0,0.19563620654901237,0.1394169181016961,0.2873664820996811,0.6066963545831485,0.39330364541685153,230,observed_historical_trace,compatible_observations_retained
stage1,moderate_seed3302,moderate,20,C4-CANDIDATE,0,0.19563620654901237,0.13953281761623015,0.28677405845490433,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage1,moderate_seed6301,moderate,50,C3-REPLICA,0,0.6075292832179728,0.0,1.0,,,0,auc_unavailable,no_observed_valid_bound_events
stage1,moderate_seed6301,moderate,50,C4-CANDIDATE,0,0.6075292832179728,0.4820366689538659,0.20656224766548742,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage1,tight_T_seed3101,tight_T,20,C3-REPLICA,0,0.10725273413394144,0.023745611370687886,0.7786013423113911,0.1224924243407075,0.8775075756592925,727,observed_historical_trace,compatible_observations_retained
stage1,tight_T_seed3101,tight_T,20,C4-CANDIDATE,0,0.10725273413394144,0.05362636706697072,0.5,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage1,V12_M1,v12,12,C3-REPLICA,0,0.3572005832084155,0.31663236056917027,0.11357266630098123,0.8285881404060051,0.17141185959399483,454,observed_historical_trace,compatible_observations_retained
stage1,V12_M1,v12,12,C4-CANDIDATE,0,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage1,V12_M2,v12,12,C3-REPLICA,0,0.7185040707549709,0.6552496903260966,0.088036217195554,0.8628888857956541,0.13711111420434588,218,observed_historical_trace,compatible_observations_retained
stage1,V12_M2,v12,12,C4-CANDIDATE,0,0.7185040707549709,0.6557601837879294,0.08732572231791685,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,high_imbalance_seed3202,high_imbalance,20,P-GRB,0,1.7493134520506337,1.074868661415556,0.38554827886589416,0.6049675218695911,0.39503247813040887,2171,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed4201,high_imbalance,20,C3-REPLICA,0,2.784107571242904,2.6892378230914074,0.0340754607082744,0.8562857177280726,0.14371428227192737,85,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed4201,high_imbalance,20,C4-CANDIDATE,0,2.784107571242904,2.6896611173437055,0.03392342123369721,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,high_imbalance_seed4201,high_imbalance,20,P-GRB,0,2.784107571242904,2.0042580270669403,0.2801075476504728,0.7084884933557741,0.29151150664422587,1944,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed5202,high_imbalance,20,C3-REPLICA,0,1.1542456900998876,1.0151175975564048,0.12053594285584271,0.7723232618473307,0.2276767381526693,54,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed5202,high_imbalance,20,C4-CANDIDATE,0,1.1542456900998876,1.0155419140820865,0.12016832915858479,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,high_imbalance_seed5202,high_imbalance,20,P-GRB,0,1.1542456900998876,0.9252150909251404,0.19842447854834708,0.7964451751478608,0.20355482485213916,1642,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed5203,high_imbalance,20,C3-REPLICA,0,2.3524097575828193,2.0254288773385505,0.1389982672832699,0.7880792851047713,0.21192071489522873,106,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed5203,high_imbalance,20,C4-CANDIDATE,0,2.3524097575828193,2.0264485645829993,0.1385648023050016,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,high_imbalance_seed5203,high_imbalance,20,P-GRB,0,2.3524097575828193,1.9903564132248892,0.15390743181151917,0.836264372276276,0.16373562772372396,1994,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed6202,high_imbalance,50,C3-REPLICA,0,9.736060015392617,7.487138546071088,0.23098886672493865,0.6478919031042227,0.35210809689577727,39,observed_historical_trace,compatible_observations_retained
stage2,high_imbalance_seed6202,high_imbalance,50,C4-CANDIDATE,0,9.736060015392617,7.461555638889693,0.23361651149509707,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,high_imbalance_seed6202,high_imbalance,50,P-GRB,0,9.736060015392617,7.8574233767331165,0.19295655898683803,0.8039513913951959,0.19604860860480416,1188,observed_historical_trace,compatible_observations_retained
