source_round,reported_arm,algorithm_identity,run,instance,family,leaf_id,parent_id,depth,attempt_ordinal,first_leaf_processing,repeated_same_leaf_processing,inherited_lower_bound,native_bound,native_bound_available,leaf_lower_bound_after,leaf_bound_gain,global_lower_bound_before,global_lower_bound_after,global_bound_gain,verified_upper_bound_before,verified_upper_bound,normalized_leaf_gain,material_leaf_gain,native_status,closed_on_event,selected_while_controlling,selected_again_same_leaf,eventually_split,before_first_run_split,open_competing_leaves_before,allocated_time_seconds_telemetry,solver_runtime_seconds_telemetry,work_telemetry,nodes_telemetry,presolve_rerun,root_rerun,fresh_restart
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L0,,0,1,True,False,0.0,1e+100,True,1e+100,0.0,0.0,0.2375,0.2375,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,True,3,30.0,0.2480001449584961,0.4370627418851771,1.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L1,,0,1,True,False,0.2375,1e+100,True,1e+100,0.0,0.2375,0.475,0.2375,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,True,2,30.0,0.5759999752044678,1.2792580390500146,1.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,,0,1,True,False,0.475,1.6812463198987921,True,1.6812463198987921,1.206246319898792,0.475,0.7124999999999999,0.23749999999999993,1.7493134520506337,1.7493134520506337,0.9465852518135883,True,TIME_LIMIT,False,True,True,True,True,1,30.0,30.000999927520752,61.67085621144156,86.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2,,0,2,False,True,1.6812463198987921,1.6867124602743413,True,1.6867124602743413,0.0054661403755491556,1.6812463198987921,1.6867124602743413,0.0054661403755491556,1.7493134520506337,1.7493134520506337,0.08030513704258169,True,TIME_LIMIT,False,True,False,True,True,0,60.0,60.009000062942505,112.98346233923394,588.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L3,,0,1,True,False,0.7124999999999999,1e+100,True,1e+100,0.0,0.7124999999999999,1.6812463198987921,0.9687463198987922,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,True,1,30.0,0.3489999771118164,0.6379571752171495,1.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,L2,1,1,True,False,1.6867124602743413,1.6926626065569321,True,1.6926626065569321,0.005950146282590829,1.6867124602743413,1.6867124602743413,0.0,1.7493134520506337,1.7493134520506337,0.0950487542410503,True,TIME_LIMIT,False,True,True,True,False,1,30.0,30.007000207901,61.46761320330952,470.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0,L2,1,2,False,True,1.6926626065569321,1.6990882299415224,True,1.6990882299415224,0.0064256233845902955,1.6926626065569321,1.6990882299415224,0.0064256233845902955,1.7493134520506337,1.7493134520506337,0.11342502179079911,True,TIME_LIMIT,False,True,False,True,False,0,60.0,60.003000020980835,116.0669531451252,775.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.1,L2,1,1,True,False,1.6867124602743413,1e+100,True,1e+100,0.0,1.6867124602743413,1.6926626065569321,0.005950146282590829,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,False,1,30.0,2.1599998474121094,4.246378541160249,1.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,L2.0,2,1,True,False,1.6990882299415224,1.69613310345644,True,1.6990882299415224,0.0,1.6990882299415224,1.6990882299415224,0.0,1.7493134520506337,1.7493134520506337,0.0,False,TIME_LIMIT,False,True,True,True,False,1,30.0,30.002000093460083,64.87165303250254,209.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0,L2.0,2,2,False,True,1.6990882299415224,1.7009163584825047,True,1.7009163584825047,0.0018281285409822434,1.6990882299415224,1.7009163584825047,0.0018281285409822434,1.7493134520506337,1.7493134520506337,0.0363986153612371,True,TIME_LIMIT,False,True,False,True,False,1,60.0,60.00100016593933,110.4104634176136,614.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.1,L2.0,2,1,True,False,1.6990882299415224,1.7335200525939403,True,1.7335200525939403,0.03443182265241784,1.6990882299415224,1.6990882299415224,0.0,1.7493134520506337,1.7493134520506337,0.6855484397384399,True,TIME_LIMIT,False,True,True,False,False,1,30.0,30.000999927520752,63.13617864592131,736.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.1,L2.0,2,2,False,True,1.7335200525939403,1.7493134518659461,True,1.7493134520506337,0.015793399456693447,1.7335200525939403,1.7493134520506337,0.015793399456693447,1.7493134520506337,1.7493134520506337,1.0,True,OPTIMAL,True,True,False,False,False,0,60.0,8.578999996185303,18.070746417053158,1620.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.0,L2.0.0,3,1,True,False,1.7009163584825047,1e+100,True,1e+100,0.0,1.7009163584825047,1.7009163584825047,0.0,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,False,2,30.0,4.953999996185303,10.18923151650587,1.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.1,L2.0.0,3,1,True,False,1.7009163584825047,1.6971302063633933,True,1.7009163584825047,0.0,1.7009163584825047,1.7009163584825047,0.0,1.7493134520506337,1.7493134520506337,0.0,False,TIME_LIMIT,False,True,True,False,False,1,30.0,30.009000062942505,66.56073422784925,524.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__high_imbalance_seed3202__c0__rep1__600s,high_imbalance_seed3202,high_imbalance,L2.0.0.1,L2.0.0,3,2,False,True,1.7009163584825047,1e+100,True,1e+100,0.0,1.7009163584825047,1.7335200525939403,0.0326036941114356,1.7493134520506337,1.7493134520506337,0.0,False,INFEASIBLE,True,True,False,False,False,1,60.0,36.075000047683716,76.6199911501779,975.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L0,,0,1,True,False,0.0,0.15561476199603727,True,0.15561476199603727,0.15561476199603727,0.0,0.04890905163725309,0.04890905163725309,0.19563620654901237,0.19563620654901237,0.7954292548452753,True,TIME_LIMIT,False,True,True,True,True,3,30.0,30.004000186920166,54.90347274226141,13.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L0,,0,2,False,True,0.15561476199603727,0.15986358119059038,True,0.15986358119059038,0.004248819194553111,0.15561476199603727,0.15949765678682276,0.0038828947907854905,0.19563620654901237,0.19563620654901237,0.1061635641094635,True,TIME_LIMIT,False,True,False,True,True,2,60.0,60.007999897003174,104.03621293339174,539.0,True,False,False
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,,0,1,True,False,0.04890905163725309,0.15949765678682276,True,0.15949765678682276,0.11058860514956967,0.04890905163725309,0.09781810327450619,0.04890905163725309,0.19563620654901237,0.19563620654901237,0.7537023751062093,True,TIME_LIMIT,False,True,True,True,True,3,30.0,30.0,62.39150940912203,9.0,True,True,True
round26,C0-LEGACY,C0=C1,results/gf_external_gurobi_production_validation_round26/runs/candidate_retry__moderate_seed3302__c0__rep1__600s,moderate_seed3302,moderate,L1,,0,2,False,True,0.15949765678682276,0.15964157620068223,True,0.15964157620068223,0.00014391941385946683,0.15949765678682276,0.15964157620068223,0.00014391941385946683,0.19563620654901237,0.19563620654901237,0.00398243468004475,True,TIME_LIMIT,False,True,False,True,True,2,60.0,60.001999855041504,106.1276242541079,539.0,True,False,False
