run_id,instance,arm,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.0.1.1,MIP,INFEASIBLE,0,281.701,0.202,0.417398,1,660,0,0.0448372,cb1cf96b017c9a3333fa4083c3e26fc085d31da82a4966abf739c13cd4b4c036,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.0.1.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.1.0.0,MIP,INFEASIBLE,0,281.487,0.197,0.399819,1,700,0,0.0448372,2f6a40744dac2a26e93fbf44f08161fd04a52595d4a96bd5228162a077839b03,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.1.0.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.0.1.0,MIP,INFEASIBLE,0,280.957,0.202,0.401769,1,707,0,0.0448372,48eea5aa2b2d37a8900b59263508d5cd2436a005378a1d83bddc8e481c9e053a,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.0.1.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.1.0.1,MIP,INFEASIBLE,0,280.418,0.209,0.458642,1,629,0,0.0448372,21962c2d3ff67df66f157cb67695457efd51beb5b07364e36b202e433729102f,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.1.0.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.1.1.0,MIP,INFEASIBLE,0,279.883,0.209,0.419135,1,860,0,0.0448372,05967ed07c3ee372a7c92f0a98806743d0b14b57a327ce49e63e242fd69f6909,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.1.1.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.1.1.1,MIP,INFEASIBLE,0,279.662,0.213,0.424389,1,825,0,0.0448372,d54ddda1c7bf6662a7ab3c7d0ba77bf11978e5ed313baed3ed57c6bf3723e4f9,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.1.1.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.0.0.0,MIP,INFEASIBLE,0,278.794,0.42,0.623374,1,798,0,0.0538414,72aafa0ceefaf5b8486f80900a2202ccb44aa6ea14e39e159cc1fb29a92a6ce1,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.0.0.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.0.0.1,MIP,INFEASIBLE,0,278.037,0.206,0.447046,1,657,0,0.0538414,88e6c6ddf6ffcb9654386074f66c3e223d8c965043576470a326d70abedecbd4,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.0.0.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.0.0.1,MIP,INFEASIBLE,0,277.821,0.404,0.627497,1,831,0,0.0538414,06e052b1e9571eafd23da20935f05c1aee5bbf3edeb779d645a6c141dff37e91,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.0.0.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.0.1.0,MIP,INFEASIBLE,0,277.086,0.406,0.621592,1,839,0,0.0538414,a7e73c2e6bb3959e48c81b2d1ce12613f3c8d689336925dd6dd0ff1f0cfdc240,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.0.1.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.0.1.1,MIP,INFEASIBLE,0,276.347,0.402,0.640239,1,855,0,0.0538414,2a63926c2ea0697959c2ddd7adf13a1d60d610973a7001cb7b503b1e4e1f4920,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.0.1.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.1.0.0.0,MIP,INFEASIBLE,0,275.934,0.221,0.471572,1,803,0,0.0538414,426dff8b1f358fa70c30a87e9eaf6cbb781de468ed6f816efa998506da770912,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.1.0.0.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.1.0.0,MIP,INFEASIBLE,0,275.052,0.461,0.786255,1,2046,0,0.0538414,98f88b9325f459419c5bef334ba905987f15b4d361436c9186af00c755d7911b,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.1.0.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.1.0.1,MIP,INFEASIBLE,0,274.259,0.417,0.644381,1,900,0,0.0538414,9b618bd575553a3f8c1903bce92ca817fc7de6b62bf4dc541470bfbc255443ad,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.1.0.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.0.0.1.1.1,MIP,INFEASIBLE,0,273.83,0.213,0.454756,1,696,0,0.0538414,7eaf1e01ceed12ec8a8d3e395a9bde0888ce9525c6296a1ff7471a1999b73877,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.0.0.1.1.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.1.1.0,MIP,INFEASIBLE,0,273.605,0.415,0.694267,1,935,0,0.0538414,a8850b40cf44a42357f5d9ee343cd71d01c13dff80b4e2afac35ee13f0846466,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.1.1.0_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.0.1.1.1,MIP,INFEASIBLE,0,272.861,0.5,0.700851,1,954,0,0.0538414,1a612f586d496a792b3c3a423c7b8281f01585a41e868805b82e1c8b58402262,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.0.1.1.1_terminal_mip.gurobi.log
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,L2.0.0.0.1.1.0.0.0,MIP,INFEASIBLE,0,272.03,0.474,0.713175,1,1143,0,0.0538414,1005a42cb0e8c9b1fac3b2db3ff08685b1d7443ee687f7d6e9fbca6bf1629a69,1,0,not_requested,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__V12_M1__c4_candidate__300s\external\native_logs\L2.0.0.0.1.1.0.0.0_terminal_mip.gurobi.log
